NAMES,j_0_0,j_0_1,j_0_2,j_0_3,j_0_4,j_0_5,j_1_0,j_1_1,j_1_2,j_1_3,j_1_4,j_1_5,j_2_0,j_2_1,j_2_2,j_2_3,j_2_4,j_2_5,j_3_0,j_3_1,j_3_2,j_3_3,j_3_4,j_3_5,j_4_0,j_4_1,j_4_2,j_4_3,j_4_4,j_4_5,j_5_0,j_5_1,j_5_2,j_5_3,j_5_4,j_5_5,j_6_0,j_6_1,j_6_2,j_6_3,j_6_4,j_6_5,j_7_0,j_7_1,j_7_2,j_7_3,j_7_4,j_7_5,j_8_0,j_8_1,j_8_2,j_8_3,j_8_4,j_8_5,j_9_0,j_9_1,j_9_2,j_9_3,j_9_4,j_9_5,j_10_0,j_10_1,j_10_2,j_10_3,j_10_4,j_10_5,j_11_0,j_11_1,j_11_2,j_11_3,j_11_4,j_11_5,j_12_0,j_12_1,j_12_2,j_12_3,j_12_4,j_12_5,j_13_0,j_13_1,j_13_2,j_13_3,j_13_4,j_13_5,j_14_0,j_14_1,j_14_2,j_14_3,j_14_4,j_14_5,j_15_0,j_15_1,j_15_2,j_15_3,j_15_4,j_15_5,j_16_0,j_16_1,j_16_2,j_16_3,j_16_4,j_16_5,j_17_0,j_17_1,j_17_2,j_17_3,j_17_4,j_17_5,j_18_0,j_18_1,j_18_2,j_18_3,j_18_4,j_18_5,j_19_0,j_19_1,j_19_2,j_19_3,j_19_4,j_19_5
VALUES,1.470000,0.099999,0.099998,-0.100000,1.469999,0.100000,1.470000,0.099999,0.099998,-0.100000,1.469999,0.100000,1.470000,0.099999,0.099997,-0.100000,1.469997,0.100000,1.470000,0.099999,0.099995,-0.100000,1.469993,0.100000,1.470000,0.099999,0.099997,-0.073022,1.469997,0.100000,1.470000,0.099999,0.099999,-0.042107,1.469999,0.100000,1.470000,0.100000,0.100000,-0.011193,1.470000,0.100000,1.470000,0.100001,0.100002,0.019721,1.470002,0.100000,1.470000,0.100002,0.100004,0.050635,1.470004,0.100000,1.469999,0.100001,0.100007,0.081551,1.470011,0.100000,1.482951,0.100002,0.100001,0.099998,1.470982,0.100000,1.515063,0.100002,0.100001,0.099999,1.471005,0.100000,1.547179,0.100001,0.100001,0.099999,1.471027,0.100000,1.579294,0.100001,0.100001,0.099999,1.471049,0.100000,1.611408,0.100001,0.100001,0.099999,1.471072,0.100000,1.643522,0.100001,0.100001,0.100000,1.471094,0.100000,1.670000,0.100000,0.100001,0.100000,1.471112,0.100000,1.670000,0.100000,0.100001,0.100000,1.471111,0.100000,1.670000,0.100000,0.100001,0.100000,1.471110,0.100000,1.670000,0.100000,0.100001,0.099999,1.471110,0.100000
VALUES,1.320000,0.249999,0.242197,-0.075774,1.319999,0.250000,1.320000,0.249999,0.238081,-0.044009,1.319999,0.250000,1.320000,0.249999,0.233965,-0.012243,1.319997,0.250000,1.320000,0.249999,0.229847,0.019523,1.319993,0.250000,1.320000,0.249999,0.230768,0.051182,1.319997,0.250000,1.320000,0.249999,0.233565,0.082820,1.319999,0.250000,1.320000,0.250000,0.237578,0.114480,1.320000,0.250000,1.320000,0.250001,0.242806,0.146193,1.320002,0.250000,1.320000,0.250002,0.249247,0.177994,1.320004,0.250000,1.319999,0.250001,0.250007,0.210655,1.320011,0.250000,1.332951,0.250002,0.250001,0.231503,1.320982,0.250000,1.365063,0.250002,0.250001,0.235103,1.321005,0.250000,1.397179,0.250001,0.250001,0.238731,1.321027,0.250000,1.429294,0.250001,0.250001,0.242432,1.321049,0.250000,1.461408,0.250001,0.250001,0.246245,1.321072,0.250000,1.493566,0.250000,0.249998,0.250045,1.321091,0.250000,1.529949,0.250000,0.250000,0.250000,1.321112,0.250000,1.564122,0.250000,0.250000,0.250000,1.321111,0.250000,1.598294,0.250000,0.250000,0.250000,1.321110,0.250000,1.632466,0.250000,0.250000,0.249999,1.321110,0.250000
VALUES,1.094999,0.024999,0.459775,0.085953,1.182592,0.475000,1.095002,0.053075,0.439818,0.118974,1.203065,0.475000,1.094999,0.081142,0.420747,0.151897,1.222842,0.475000,1.095000,0.108894,0.402862,0.184750,1.241802,0.475000,1.095000,0.134348,0.387976,0.216124,1.258953,0.475000,1.095000,0.152041,0.382762,0.246250,1.273139,0.475000,1.095000,0.161672,0.387618,0.275344,1.284389,0.475000,1.095000,0.166503,0.398897,0.303841,1.293453,0.475000,1.095000,0.171372,0.411268,0.332326,1.301379,0.475000,1.094999,0.177671,0.423418,0.362780,1.309816,0.475000,1.107952,0.183195,0.430086,0.385160,1.313094,0.475000,1.140062,0.172915,0.443542,0.393889,1.306505,0.475000,1.172179,0.164896,0.454496,0.402840,1.300192,0.475000,1.204294,0.159180,0.462902,0.411953,1.294180,0.475000,1.236408,0.155478,0.469038,0.421158,1.288329,0.475000,1.268571,0.153576,0.473052,0.430335,1.282544,0.475002,1.304940,0.151228,0.475000,0.436021,1.275806,0.474996,1.339130,0.152011,0.473972,0.443027,1.269859,0.475004,1.373291,0.156321,0.468989,0.449796,1.264936,0.474999,1.407466,0.161706,0.462456,0.456160,1.259837,0.475000
VALUES,0.902564,-0.056676,0.575243,0.213849,1.235115,0.812500,0.910597,-0.069480,0.600779,0.232354,1.234296,0.812501,0.919358,-0.082441,0.627270,0.251049,1.231993,0.812500,0.928886,-0.095756,0.654746,0.269887,1.228230,0.812499,0.939141,-0.108867,0.682071,0.288835,1.223655,0.812501,0.949735,-0.122084,0.708475,0.307616,1.219407,0.812499,0.960964,-0.127067,0.725118,0.327674,1.217243,0.812500,0.972650,-0.127576,0.736397,0.348626,1.216212,0.812500,0.984795,-0.129133,0.748767,0.369816,1.214460,0.812500,0.997642,-0.130389,0.760918,0.391683,1.211740,0.812499,1.006766,-0.121416,0.767583,0.416848,1.213072,0.806455,1.025372,-0.124132,0.780441,0.437232,1.211677,0.812509,1.040128,-0.116131,0.786001,0.461033,1.212982,0.812496,1.055787,-0.109094,0.792686,0.485248,1.212534,0.812495,1.072273,-0.102200,0.799694,0.509913,1.210730,0.812498,1.089549,-0.094979,0.806538,0.535056,1.207804,0.812501,1.107440,-0.084844,0.810230,0.561178,1.205041,0.812495,1.126228,-0.071471,0.810721,0.588014,1.201075,0.812503,1.145708,-0.053371,0.806492,0.615585,1.196331,0.812500,1.155885,-0.026683,0.799955,0.649818,1.196396,0.798536
VALUES,1.067046,0.006735,0.493566,0.119789,1.179872,0.508740,1.061367,0.035663,0.473571,0.152863,1.200980,0.508749,1.061249,0.076617,0.442411,0.184931,1.220757,0.508750,1.061250,0.098243,0.431556,0.213032,1.236116,0.508750,1.061247,0.120134,0.421728,0.241168,1.250366,0.508749,1.061250,0.141424,0.413700,0.269291,1.263180,0.508750,1.061250,0.162796,0.406889,0.297451,1.274815,0.508750,1.061250,0.184071,0.401637,0.325764,1.285040,0.508750,1.061254,0.205125,0.398154,0.354367,1.293760,0.508752,1.061250,0.211421,0.410582,0.380524,1.298888,0.508750,1.074201,0.216945,0.418162,0.401084,1.299554,0.508750,1.106312,0.206665,0.431176,0.409989,1.292429,0.508750,1.138429,0.198646,0.441921,0.419301,1.285580,0.508750,1.170544,0.192930,0.450351,0.429007,1.278945,0.508750,1.202658,0.184967,0.460924,0.438389,1.271947,0.508750,1.234821,0.179367,0.469134,0.448158,1.265102,0.508752,1.271190,0.172492,0.476099,0.455155,1.257140,0.508746,1.305380,0.170001,0.479935,0.463997,1.250009,0.508754,1.339541,0.169807,0.481383,0.472991,1.243012,0.508749,1.373716,0.171773,0.480517,0.482031,1.236094,0.508750
VALUES,1.016423,0.057360,0.453207,0.160289,1.205030,0.559367,1.010741,0.086286,0.435107,0.192609,1.225403,0.559372,1.010625,0.127243,0.405448,0.224867,1.243920,0.559376,1.010625,0.148867,0.396010,0.252859,1.257988,0.559375,1.010621,0.170758,0.387688,0.281049,1.270799,0.559373,1.010624,0.192048,0.381353,0.309316,1.282224,0.559374,1.010624,0.209676,0.380013,0.337144,1.291726,0.559375,1.010625,0.227320,0.380105,0.365264,1.299962,0.559375,1.010629,0.244931,0.381706,0.393730,1.306915,0.559377,1.010627,0.262047,0.385246,0.422322,1.312174,0.559377,1.023576,0.267570,0.394031,0.443472,1.311491,0.559375,1.055687,0.257290,0.407345,0.453099,1.303321,0.559375,1.087804,0.249271,0.418349,0.463131,1.295455,0.559375,1.119919,0.243555,0.427000,0.473553,1.287845,0.559375,1.152033,0.235592,0.437791,0.483500,1.279727,0.559375,1.184196,0.226702,0.449427,0.493329,1.271425,0.559377,1.220565,0.216721,0.459426,0.500446,1.262173,0.559371,1.254755,0.211102,0.466415,0.509484,1.253817,0.559379,1.288916,0.207861,0.470964,0.518780,1.245659,0.559374,1.323091,0.206846,0.473155,0.528220,1.237649,0.559375
VALUES,0.940485,0.133298,0.395306,0.220183,1.242487,0.635304,0.934803,0.162224,0.380063,0.252531,1.260279,0.635309,0.934688,0.203180,0.352843,0.285276,1.277436,0.635314,0.934687,0.224804,0.346059,0.313652,1.289176,0.635313,0.934684,0.246695,0.340452,0.342342,1.299711,0.635311,0.934686,0.267985,0.336900,0.371201,1.308844,0.635312,0.934687,0.285614,0.338445,0.399586,1.315881,0.635312,0.934688,0.303258,0.341473,0.428416,1.321640,0.635313,0.934691,0.320869,0.346063,0.457760,1.326100,0.635314,0.934689,0.337985,0.352673,0.487607,1.329184,0.635314,0.947639,0.343507,0.363531,0.510067,1.326367,0.635312,0.979750,0.333228,0.377315,0.521015,1.316649,0.635312,1.011866,0.325208,0.388736,0.532364,1.307299,0.635313,1.043981,0.319492,0.397745,0.544105,1.298277,0.635312,1.076096,0.311530,0.408803,0.555227,1.288696,0.635313,1.108258,0.297649,0.425598,0.565188,1.278096,0.635314,1.144627,0.283056,0.439991,0.572478,1.266874,0.635309,1.178817,0.272857,0.451558,0.581846,1.256624,0.635316,1.212979,0.265166,0.460585,0.591599,1.246698,0.635311,1.247154,0.259825,0.467165,0.601627,1.237021,0.635313
VALUES,0.866162,0.195104,0.356196,0.281035,1.268551,0.749210,0.874872,0.185974,0.376802,0.299307,1.270773,0.749215,0.884407,0.176525,0.398480,0.317968,1.271301,0.749220,0.894427,0.167222,0.420122,0.336409,1.270841,0.749219,0.905066,0.157542,0.442507,0.354951,1.269131,0.749217,0.917210,0.162023,0.450806,0.376642,1.269237,0.749218,0.930304,0.173192,0.452351,0.399997,1.270055,0.749219,0.944378,0.189352,0.448978,0.424791,1.271030,0.749219,0.959256,0.206962,0.444187,0.450348,1.271491,0.749221,0.974840,0.224078,0.439853,0.476315,1.271125,0.749220,0.985588,0.229601,0.450867,0.499424,1.270020,0.744230,1.003860,0.219321,0.473350,0.516933,1.262356,0.748964,1.019567,0.216687,0.490628,0.537106,1.257098,0.749219,1.035918,0.214379,0.507612,0.557978,1.251243,0.749219,1.052940,0.213715,0.522711,0.579572,1.245448,0.749209,1.070666,0.210932,0.539195,0.601519,1.238656,0.749230,1.088828,0.210824,0.552904,0.624073,1.232351,0.749215,1.107940,0.211543,0.565461,0.647365,1.225107,0.749221,1.127918,0.215408,0.574492,0.671562,1.217574,0.749218,1.141579,0.227191,0.581071,0.700353,1.213645,0.738938
VALUES,0.929094,0.144689,0.389271,0.229552,1.246146,0.646695,0.923412,0.173615,0.374607,0.262179,1.263642,0.646700,0.923297,0.214571,0.347992,0.295239,1.280487,0.646705,0.923297,0.236195,0.341786,0.323918,1.291881,0.646703,0.923293,0.258086,0.336789,0.352934,1.302049,0.646702,0.923296,0.279376,0.333876,0.382150,1.310793,0.646702,0.923293,0.297006,0.336074,0.410969,1.317389,0.646705,0.923296,0.313073,0.341315,0.439806,1.322408,0.646704,0.923302,0.328857,0.348386,0.469155,1.326051,0.646704,0.923297,0.343431,0.358245,0.498994,1.328040,0.646706,0.936209,0.343632,0.374906,0.521385,1.323338,0.646723,0.968349,0.333418,0.388702,0.532386,1.313842,0.646708,1.000496,0.325468,0.400133,0.543793,1.304736,0.646693,1.032651,0.319819,0.409154,0.555597,1.295957,0.646677,1.064818,0.311866,0.420228,0.566783,1.286580,0.646663,1.099262,0.296704,0.436985,0.576605,1.274526,0.646696,1.136568,0.281456,0.451384,0.583852,1.262608,0.646705,1.170919,0.271176,0.462949,0.593236,1.252265,0.646707,1.205496,0.263223,0.471969,0.602996,1.242018,0.646705,1.239919,0.257786,0.478562,0.613013,1.232264,0.646697
VALUES,0.912008,0.161774,0.377253,0.243255,1.253860,0.663781,0.906326,0.190701,0.363300,0.275964,1.270828,0.663786,0.906211,0.231657,0.337335,0.309255,1.287279,0.663791,0.906211,0.253281,0.331806,0.338101,1.298146,0.663789,0.906207,0.275172,0.327506,0.367320,1.307783,0.663788,0.906210,0.296462,0.325315,0.396772,1.315986,0.663788,0.906207,0.314092,0.328248,0.425794,1.322050,0.663791,0.906210,0.330159,0.334249,0.454960,1.326451,0.663790,0.906216,0.338734,0.349049,0.482925,1.327888,0.663790,0.907572,0.345297,0.366437,0.510540,1.327360,0.663792,0.923059,0.341787,0.385205,0.530688,1.321502,0.663809,0.951263,0.350504,0.383872,0.548892,1.315901,0.663794,0.983410,0.341177,0.396876,0.560879,1.305838,0.663779,1.015565,0.331474,0.410072,0.572684,1.295623,0.663763,1.047732,0.319461,0.425345,0.583869,1.284905,0.663749,1.082176,0.307412,0.438823,0.593692,1.273873,0.663782,1.119470,0.291888,0.453445,0.600920,1.261982,0.663791,1.153832,0.284368,0.462447,0.610046,1.252962,0.658725,1.188416,0.280308,0.467857,0.619289,1.244731,0.651639,1.222867,0.262667,0.486154,0.630157,1.230111,0.663770
