bbox, 1876.8348, 541.5902, -1540.0000, 1270.0000, 700.0000, 1050.0000
cut, 2.9180, 0.7770, -0.4967, 0.000000, -0.255483, 0.966813, 0.000000
cut, 2.9180, 0.7770, -0.7967, -0.085708, -0.240678, 0.910786, 0.324340
cut, 2.9180, 0.7770, -1.0666, -0.122218, -0.224354, 0.849011, 0.462503
cut, 2.9168, 0.7792, -1.0719, -0.120905, -0.225077, 0.851673, 0.457575
cut, 2.9155, 0.7814, -1.0772, -0.119554, -0.225840, 0.854321, 0.452591
cut, 2.9141, 0.7835, -1.0824, -0.118166, -0.226642, 0.856952, 0.447552
cut, 2.9128, 0.7856, -1.0876, -0.116741, -0.227484, 0.859565, 0.442460
cut, 2.9114, 0.7877, -1.0928, -0.115279, -0.228367, 0.862157, 0.437316
cut, 2.9099, 0.7898, -1.0979, -0.113780, -0.229290, 0.864726, 0.432121
cut, 2.9084, 0.7919, -1.1030, -0.112245, -0.230254, 0.867271, 0.426878
cut, 2.9069, 0.7939, -1.1081, -0.110674, -0.231260, 0.869789, 0.421588
cut, 2.9054, 0.7959, -1.1131, -0.109068, -0.232308, 0.872279, 0.416254
cut, 2.9038, 0.7979, -1.1180, -0.107427, -0.233397, 0.874738, 0.410876
cut, 2.9022, 0.7999, -1.1230, -0.105752, -0.234528, 0.877164, 0.405459
cut, 2.9006, 0.8019, -1.1279, -0.104043, -0.235702, 0.879555, 0.400003
cut, 2.8989, 0.8038, -1.1327, -0.102302, -0.236918, 0.881910, 0.394512
cut, 2.8972, 0.8057, -1.1375, -0.100528, -0.238176, 0.884226, 0.388988
cut, 2.8955, 0.8076, -1.1423, -0.098724, -0.239476, 0.886501, 0.383433
cut, 2.8937, 0.8095, -1.1471, -0.096890, -0.240819, 0.888734, 0.377850
cut, 2.8919, 0.8113, -1.1518, -0.095026, -0.242204, 0.890922, 0.372242
cut, 2.8901, 0.8131, -1.1564, -0.093134, -0.243631, 0.893065, 0.366613
cut, 2.8882, 0.8149, -1.1610, -0.091216, -0.245100, 0.895160, 0.360964
cut, 2.8863, 0.8167, -1.1656, -0.089271, -0.246611, 0.897205, 0.355299
cut, 2.8843, 0.8185, -1.1702, -0.087303, -0.248163, 0.899199, 0.349621
cut, 2.8824, 0.8202, -1.1747, -0.085310, -0.249755, 0.901140, 0.343933
cut, 2.8803, 0.8219, -1.1791, -0.083296, -0.251389, 0.903028, 0.338239
cut, 2.8783, 0.8236, -1.1836, -0.081261, -0.253062, 0.904860, 0.332541
cut, 2.8762, 0.8253, -1.1880, -0.079207, -0.254776, 0.906636, 0.326843
cut, 2.8741, 0.8269, -1.1923, -0.077134, -0.256528, 0.908354, 0.321149
cut, 2.8720, 0.8286, -1.1966, -0.075046, -0.258319, 0.910013, 0.315460
cut, 2.8698, 0.8302, -1.2009, -0.072942, -0.260148, 0.911613, 0.309781
cut, 2.8676, 0.8317, -1.2051, -0.070825, -0.262014, 0.913152, 0.304116
cut, 2.8653, 0.8333, -1.2093, -0.068696, -0.263917, 0.914629, 0.298466
cut, 2.8631, 0.8348, -1.2135, -0.066556, -0.265856, 0.916045, 0.292836
cut, 2.8608, 0.8364, -1.2176, -0.064408, -0.267829, 0.917398, 0.287229
cut, 2.8584, 0.8379, -1.2217, -0.062252, -0.269838, 0.918688, 0.281648
cut, 2.8560, 0.8393, -1.2257, -0.060090, -0.271880, 0.919914, 0.276095
cut, 2.8536, 0.8408, -1.2297, -0.057924, -0.273954, 0.921077, 0.270575
cut, 2.8512, 0.8422, -1.2337, -0.055756, -0.276060, 0.922176, 0.265089
cut, 2.8487, 0.8436, -1.2376, -0.053586, -0.278198, 0.923212, 0.259642
cut, 2.8462, 0.8450, -1.2415, -0.051417, -0.280365, 0.924184, 0.254236
cut, 2.8436, 0.8464, -1.2453, -0.049249, -0.282562, 0.925092, 0.248873
cut, 2.8411, 0.8477, -1.2491, -0.047085, -0.284787, 0.925937, 0.243556
cut, 2.8384, 0.8490, -1.2529, -0.044925, -0.287039, 0.926720, 0.238288
cut, 2.8358, 0.8503, -1.2566, -0.042772, -0.289318, 0.927439, 0.233071
cut, 2.8331, 0.8516, -1.2603, -0.040626, -0.291622, 0.928097, 0.227908
cut, 2.8304, 0.8529, -1.2639, -0.038490, -0.293950, 0.928694, 0.222801
cut, 2.8276, 0.8541, -1.2675, -0.036363, -0.296302, 0.929229, 0.217752
cut, 2.8249, 0.8553, -1.2711, -0.034248, -0.298676, 0.929705, 0.212763
cut, 2.8220, 0.8565, -1.2746, -0.032146, -0.301072, 0.930122, 0.207836
cut, 2.8192, 0.8577, -1.2781, -0.030058, -0.303488, 0.930480, 0.202973
cut, 2.8163, 0.8588, -1.2816, -0.027986, -0.305924, 0.930781, 0.198175
cut, 2.8134, 0.8599, -1.2850, -0.025929, -0.308379, 0.931026, 0.193444
cut, 2.8104, 0.8610, -1.2884, -0.023890, -0.310851, 0.931215, 0.188782
cut, 2.8075, 0.8621, -1.2917, -0.021870, -0.313341, 0.931350, 0.184190
cut, 2.8044, 0.8632, -1.2950, -0.019869, -0.315846, 0.931432, 0.179669
cut, 2.8014, 0.8642, -1.2982, -0.017888, -0.318366, 0.931462, 0.175220
cut, 2.7983, 0.8652, -1.3015, -0.015929, -0.320900, 0.931441, 0.170844
cut, 2.7952, 0.8662, -1.3046, -0.013992, -0.323448, 0.931370, 0.166542
cut, 2.7920, 0.8672, -1.3078, -0.012077, -0.326008, 0.931250, 0.162315
cut, 2.7889, 0.8681, -1.3109, -0.010187, -0.328579, 0.931083, 0.158164
cut, 2.7856, 0.8691, -1.3139, -0.008321, -0.331161, 0.930870, 0.154089
cut, 2.7824, 0.8700, -1.3170, -0.006479, -0.333753, 0.930613, 0.150090
cut, 2.7791, 0.8708, -1.3199, -0.004664, -0.336355, 0.930311, 0.146168
cut, 2.7758, 0.8717, -1.3229, -0.002874, -0.338964, 0.929967, 0.142324
cut, 2.7724, 0.8726, -1.3258, -0.001112, -0.341581, 0.929582, 0.138557
cut, 2.7690, 0.8734, -1.3287, 0.000623, -0.344205, 0.929157, 0.134867
cut, 2.7656, 0.8742, -1.3315, 0.002331, -0.346835, 0.928694, 0.131255
cut, 2.7621, 0.8749, -1.3343, 0.004011, -0.349471, 0.928192, 0.127721
cut, 2.7587, 0.8757, -1.3370, 0.005662, -0.352111, 0.927655, 0.124264
cut, 2.7551, 0.8764, -1.3397, 0.007284, -0.354756, 0.927083, 0.120885
cut, 2.7516, 0.8771, -1.3424, 0.008877, -0.357404, 0.926476, 0.117582
cut, 2.7480, 0.8778, -1.3450, 0.010441, -0.360055, 0.925837, 0.114356
cut, 2.7444, 0.8785, -1.3476, 0.011976, -0.362708, 0.925166, 0.111207
cut, 2.7407, 0.8791, -1.3502, 0.013480, -0.365363, 0.924465, 0.108133
cut, 2.7370, 0.8798, -1.3527, 0.014955, -0.368018, 0.923735, 0.105134
cut, 2.7333, 0.8804, -1.3552, 0.016400, -0.370675, 0.922976, 0.102211
cut, 2.7295, 0.8809, -1.3576, 0.017815, -0.373331, 0.922190, 0.099362
cut, 2.7257, 0.8815, -1.3600, 0.019200, -0.375987, 0.921377, 0.096586
cut, 2.7219, 0.8820, -1.3624, 0.020554, -0.378642, 0.920540, 0.093884
cut, 2.7181, 0.8825, -1.3647, 0.021878, -0.381296, 0.919678, 0.091254
cut, 2.7142, 0.8830, -1.3670, 0.023172, -0.383947, 0.918793, 0.088696
cut, 2.7102, 0.8835, -1.3692, 0.024436, -0.386596, 0.917886, 0.086208
cut, 2.7063, 0.8839, -1.3714, 0.025670, -0.389243, 0.916957, 0.083790
cut, 2.7023, 0.8844, -1.3736, 0.026874, -0.391886, 0.916008, 0.081442
cut, 2.6983, 0.8848, -1.3757, 0.028048, -0.394525, 0.915039, 0.079163
cut, 2.6942, 0.8852, -1.3778, 0.029192, -0.397161, 0.914051, 0.076950
cut, 2.6901, 0.8855, -1.3798, 0.030306, -0.399792, 0.913046, 0.074805
cut, 2.6860, 0.8859, -1.3819, 0.031391, -0.402418, 0.912023, 0.072726
cut, 2.6818, 0.8862, -1.3838, 0.032446, -0.405039, 0.910983, 0.070711
cut, 2.6776, 0.8865, -1.3858, 0.033472, -0.407655, 0.909928, 0.068761
cut, 2.6734, 0.8867, -1.3876, 0.034469, -0.410265, 0.908858, 0.066873
cut, 2.6691, 0.8870, -1.3895, 0.035437, -0.412869, 0.907773, 0.065048
cut, 2.6648, 0.8872, -1.3913, 0.036377, -0.415466, 0.906675, 0.063285
cut, 2.6605, 0.8874, -1.3931, 0.037288, -0.418056, 0.905564, 0.061582
cut, 2.6561, 0.8876, -1.3948, 0.038171, -0.420640, 0.904441, 0.059938
cut, 2.6517, 0.8878, -1.3965, 0.039026, -0.423216, 0.903305, 0.058352
cut, 2.6473, 0.8879, -1.3982, 0.039853, -0.425785, 0.902159, 0.056825
cut, 2.6428, 0.8880, -1.3998, 0.040652, -0.428345, 0.901001, 0.055353
cut, 2.6383, 0.8881, -1.4014, 0.041425, -0.430898, 0.899834, 0.053938
cut, 2.6338, 0.8882, -1.4029, 0.042170, -0.433442, 0.898657, 0.052577
cut, 2.6292, 0.8883, -1.4044, 0.042889, -0.435978, 0.897471, 0.051270
cut, 2.6246, 0.8883, -1.4059, 0.043582, -0.438505, 0.896277, 0.050016
cut, 2.6200, 0.8883, -1.4073, 0.044248, -0.441023, 0.895074, 0.048814
cut, 2.6153, 0.8883, -1.4087, 0.044888, -0.443532, 0.893864, 0.047663
cut, 2.6106, 0.8883, -1.4100, 0.045503, -0.446032, 0.892646, 0.046562
cut, 2.6059, 0.8882, -1.4113, 0.046093, -0.448522, 0.891422, 0.045510
cut, 2.6011, 0.8881, -1.4126, 0.046658, -0.451002, 0.890191, 0.044507
cut, 2.5963, 0.8880, -1.4138, 0.047198, -0.453472, 0.888954, 0.043551
cut, 2.5915, 0.8879, -1.4150, 0.047714, -0.455932, 0.887711, 0.042641
cut, 2.5866, 0.8878, -1.4162, 0.048205, -0.458381, 0.886463, 0.041778
cut, 2.5817, 0.8876, -1.4173, 0.048673, -0.460820, 0.885211, 0.040958
cut, 2.5768, 0.8874, -1.4184, 0.049118, -0.463249, 0.883953, 0.040183
cut, 2.5718, 0.8872, -1.4194, 0.049539, -0.465667, 0.882691, 0.039451
cut, 2.5668, 0.8870, -1.4204, 0.049938, -0.468073, 0.881426, 0.038761
cut, 2.5618, 0.8867, -1.4213, 0.050314, -0.470469, 0.880156, 0.038112
cut, 2.5567, 0.8865, -1.4223, 0.050668, -0.472853, 0.878883, 0.037504
cut, 2.5516, 0.8862, -1.4231, 0.051000, -0.475226, 0.877607, 0.036936
cut, 2.5465, 0.8859, -1.4240, 0.051310, -0.477588, 0.876329, 0.036407
cut, 2.5413, 0.8855, -1.4248, 0.051599, -0.479938, 0.875047, 0.035915
cut, 2.5361, 0.8852, -1.4255, 0.051867, -0.482276, 0.873763, 0.035461
cut, 2.5309, 0.8848, -1.4263, 0.052115, -0.484602, 0.872477, 0.035044
cut, 2.5256, 0.8844, -1.4269, 0.052342, -0.486917, 0.871189, 0.034662
cut, 2.5203, 0.8839, -1.4276, 0.052549, -0.489219, 0.869900, 0.034316
cut, 2.5149, 0.8835, -1.4282, 0.052737, -0.491510, 0.868609, 0.034003
cut, 2.5096, 0.8830, -1.4287, 0.052904, -0.493788, 0.867316, 0.033725
cut, 2.5042, 0.8825, -1.4293, 0.053053, -0.496053, 0.866023, 0.033479
cut, 2.4987, 0.8820, -1.4298, 0.053183, -0.498306, 0.864729, 0.033265
cut, 2.4932, 0.8815, -1.4302, 0.053295, -0.500547, 0.863434, 0.033083
cut, 2.4877, 0.8809, -1.4306, 0.053388, -0.502775, 0.862138, 0.032931
cut, 2.4822, 0.8804, -1.4310, 0.053463, -0.504991, 0.860842, 0.032810
cut, 2.4766, 0.8798, -1.4313, 0.053521, -0.507193, 0.859546, 0.032717
cut, 2.4710, 0.8791, -1.4316, 0.053561, -0.509383, 0.858250, 0.032654
cut, 2.4654, 0.8785, -1.4319, 0.053584, -0.511560, 0.856954, 0.032619
cut, 2.4597, 0.8778, -1.4321, 0.053591, -0.513724, 0.855659, 0.032611
cut, 2.4540, 0.8771, -1.4323, 0.053581, -0.515875, 0.854364, 0.032630
cut, 2.4482, 0.8764, -1.4324, 0.053555, -0.518013, 0.853069, 0.032675
cut, 2.4425, 0.8757, -1.4325, 0.053513, -0.520138, 0.851775, 0.032746
cut, 2.4367, 0.8749, -1.4325, 0.053455, -0.522250, 0.850482, 0.032841
cut, 2.4309, 0.8742, -1.4326, 0.053383, -0.524329, 0.849201, 0.032960
cut, 2.4309, 0.5742, -1.4326, 0.049784, -0.666509, 0.742490, 0.044689
cut, 2.4309, 0.4916, -1.4326, -0.047577, 0.705504, -0.705504, -0.047577
p2p,
cut, 2.8760, 1.0363, -0.4600, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.8760, 1.0363, -0.5200, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.8781, 1.0344, -0.5010, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.8185, 1.0344, -0.7550, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.8173, 1.0344, -0.7604, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.8159, 1.0344, -0.7659, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.8146, 1.0344, -0.7713, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.8133, 1.0344, -0.7767, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.8119, 1.0344, -0.7821, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.8105, 1.0344, -0.7874, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.8091, 1.0344, -0.7928, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.8077, 1.0344, -0.7981, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.8062, 1.0344, -0.8034, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.8048, 1.0344, -0.8086, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.8033, 1.0344, -0.8139, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.8018, 1.0344, -0.8191, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.8002, 1.0344, -0.8243, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7987, 1.0344, -0.8295, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7971, 1.0344, -0.8346, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.7956, 1.0344, -0.8398, 0.000000, 1.000000, 0.000000, 0.000000
