bbox, -467.7989, 1848.5463, -1670.8638, 1800.0001, 700.7219, 1200.0000
cut, 1.4984, 2.8181, -0.3709, 0.000000, -0.613442, 0.789739, 0.000000
cut, 1.4984, 2.8168, -0.3757, 0.004587, -0.613425, 0.789717, -0.005905
cut, 1.4984, 2.8154, -0.3805, 0.009171, -0.613374, 0.789651, -0.011807
cut, 1.4984, 2.8141, -0.3853, 0.013751, -0.613288, 0.789541, -0.017702
cut, 1.4984, 2.8127, -0.3901, 0.018323, -0.613169, 0.789387, -0.023589
cut, 1.4984, 2.8114, -0.3949, 0.022887, -0.613015, 0.789190, -0.029464
cut, 1.4984, 2.8101, -0.3998, 0.027439, -0.612828, 0.788949, -0.035325
cut, 1.4984, 2.8087, -0.4046, 0.031978, -0.612608, 0.788666, -0.041168
cut, 1.4984, 2.8074, -0.4094, 0.036501, -0.612356, 0.788340, -0.046991
cut, 1.4984, 2.8060, -0.4142, 0.041006, -0.612070, 0.787973, -0.052790
cut, 1.4984, 2.8047, -0.4190, 0.045491, -0.611753, 0.787565, -0.058564
cut, 1.4984, 2.8034, -0.4239, 0.049954, -0.611405, 0.787117, -0.064310
cut, 1.4984, 2.8020, -0.4287, 0.054393, -0.611026, 0.786629, -0.070024
cut, 1.4984, 2.8007, -0.4335, 0.058806, -0.610617, 0.786102, -0.075706
cut, 1.4984, 2.7993, -0.4383, 0.063191, -0.610179, 0.785538, -0.081352
cut, 1.4984, 2.7980, -0.4431, 0.067547, -0.609712, 0.784937, -0.086959
cut, 1.4984, 2.7967, -0.4479, 0.071872, -0.609218, 0.784300, -0.092527
cut, 1.4984, 2.7953, -0.4528, 0.076164, -0.608696, 0.783629, -0.098053
cut, 1.4984, 2.7940, -0.4576, 0.080422, -0.608148, 0.782923, -0.103534
cut, 1.4984, 2.7926, -0.4624, 0.084644, -0.607575, 0.782185, -0.108969
cut, 1.4984, 2.7913, -0.4672, 0.088829, -0.606977, 0.781416, -0.114357
cut, 1.4984, 2.7900, -0.4720, 0.092975, -0.606356, 0.780616, -0.119695
cut, 1.4984, 2.7886, -0.4768, 0.097082, -0.605712, 0.779787, -0.124983
cut, 1.4984, 2.7873, -0.4817, 0.101148, -0.605046, 0.778930, -0.130218
cut, 1.4984, 2.7859, -0.4865, 0.105173, -0.604359, 0.778046, -0.135399
cut, 1.4984, 2.7846, -0.4913, 0.109155, -0.603653, 0.777137, -0.140525
cut, 1.4984, 2.7833, -0.4961, 0.113093, -0.602927, 0.776203, -0.145595
cut, 1.4984, 2.7819, -0.5009, 0.116987, -0.602184, 0.775246, -0.150608
cut, 1.4984, 2.7806, -0.5057, 0.120836, -0.601423, 0.774266, -0.155563
cut, 1.4984, 2.7792, -0.5106, 0.124639, -0.600647, 0.773267, -0.160459
cut, 1.4984, 2.7779, -0.5154, 0.128396, -0.599855, 0.772247, -0.165296
cut, 1.4984, 2.7765, -0.5202, 0.132107, -0.599049, 0.771209, -0.170073
cut, 1.4984, 2.7752, -0.5250, 0.135770, -0.598229, 0.770154, -0.174789
cut, 1.4984, 2.7739, -0.5298, 0.139386, -0.597397, 0.769083, -0.179444
cut, 1.4984, 2.7725, -0.5346, 0.142954, -0.596553, 0.767996, -0.184038
cut, 1.4984, 2.7712, -0.5395, 0.146475, -0.595699, 0.766896, -0.188570
cut, 1.4984, 2.7698, -0.5443, 0.149947, -0.594834, 0.765783, -0.193040
cut, 1.4984, 2.7685, -0.5491, 0.153371, -0.593960, 0.764658, -0.197449
cut, 1.4984, 2.7672, -0.5539, 0.156748, -0.593078, 0.763523, -0.201795
cut, 1.4984, 2.7658, -0.5587, 0.160076, -0.592189, 0.762378, -0.206080
cut, 1.4984, 2.7645, -0.5635, 0.163356, -0.591292, 0.761223, -0.210303
cut, 1.4984, 2.7631, -0.5684, 0.166588, -0.590390, 0.760062, -0.214464
cut, 1.4984, 2.7618, -0.5732, 0.169773, -0.589482, 0.758893, -0.218564
cut, 1.4984, 2.7605, -0.5780, 0.172910, -0.588569, 0.757718, -0.222602
cut, 1.4984, 2.7591, -0.5828, 0.176000, -0.587653, 0.756538, -0.226580
cut, 1.4984, 2.7578, -0.5876, 0.179043, -0.586733, 0.755354, -0.230498
cut, 1.4984, 2.7564, -0.5924, 0.182039, -0.585810, 0.754166, -0.234356
cut, 1.4984, 2.7551, -0.5973, 0.184990, -0.584885, 0.752975, -0.238154
cut, 1.4984, 2.7538, -0.6021, 0.187894, -0.583958, 0.751782, -0.241893
cut, 1.4984, 2.7524, -0.6069, 0.190753, -0.583031, 0.750588, -0.245573
cut, 1.4984, 2.7511, -0.6117, 0.193567, -0.582103, 0.749393, -0.249196
cut, 1.4984, 2.7497, -0.6165, 0.196337, -0.581174, 0.748198, -0.252762
cut, 1.4984, 2.7484, -0.6213, 0.199062, -0.580246, 0.747003, -0.256271
cut, 1.4984, 2.7471, -0.6262, 0.201744, -0.579319, 0.745810, -0.259723
cut, 1.4984, 2.7457, -0.6310, 0.204383, -0.578394, 0.744618, -0.263121
cut, 1.4984, 2.7444, -0.6358, 0.206980, -0.577469, 0.743428, -0.266464
cut, 1.4984, 2.7430, -0.6406, 0.209534, -0.576547, 0.742241, -0.269753
cut, 1.4984, 2.7417, -0.6454, 0.212048, -0.575628, 0.741057, -0.272988
cut, 1.4984, 2.7404, -0.6502, 0.214520, -0.574711, 0.739877, -0.276171
cut, 1.4984, 2.7390, -0.6551, 0.216953, -0.573797, 0.738701, -0.279303
cut, 1.4984, 2.7377, -0.6599, 0.219345, -0.572887, 0.737528, -0.282383
cut, 1.4984, 2.7363, -0.6647, 0.221699, -0.571980, 0.736361, -0.285413
cut, 1.4984, 2.7350, -0.6695, 0.224014, -0.571077, 0.735199, -0.288394
cut, 1.4984, 2.7337, -0.6743, 0.226292, -0.570179, 0.734042, -0.291325
cut, 1.4984, 2.7323, -0.6792, 0.228532, -0.569285, 0.732891, -0.294209
cut, 1.4984, 2.7310, -0.6840, 0.230735, -0.568395, 0.731746, -0.297046
cut, 1.4984, 2.7296, -0.6888, 0.232902, -0.567510, 0.730607, -0.299836
cut, 1.4984, 2.7283, -0.6936, 0.235034, -0.566631, 0.729475, -0.302581
cut, 1.4984, 2.7270, -0.6984, 0.237131, -0.565756, 0.728349, -0.305280
cut, 1.4984, 2.7256, -0.7032, 0.239194, -0.564888, 0.727230, -0.307936
cut, 1.4984, 2.7243, -0.7081, 0.241223, -0.564024, 0.726119, -0.310548
cut, 1.4984, 2.7229, -0.7129, 0.243218, -0.563166, 0.725015, -0.313117
cut, 1.4984, 2.7216, -0.7177, 0.245182, -0.562314, 0.723918, -0.315644
cut, 1.4984, 2.7203, -0.7225, 0.247113, -0.561468, 0.722829, -0.318131
cut, 1.4984, 2.7189, -0.7273, 0.249013, -0.560628, 0.721747, -0.320577
cut, 1.4984, 2.7176, -0.7321, 0.250882, -0.559795, 0.720674, -0.322983
cut, 1.4984, 2.7162, -0.7370, 0.252721, -0.558967, 0.719608, -0.325350
cut, 1.4984, 2.7149, -0.7418, 0.254530, -0.558145, 0.718551, -0.327679
cut, 1.4984, 2.7135, -0.7466, 0.256309, -0.557330, 0.717501, -0.329970
cut, 1.4984, 2.7122, -0.7514, 0.258060, -0.556522, 0.716460, -0.332224
cut, 1.4984, 2.7109, -0.7562, 0.259783, -0.555720, 0.715428, -0.334442
cut, 1.4984, 2.7095, -0.7610, 0.261479, -0.554924, 0.714403, -0.336625
cut, 1.4984, 2.7082, -0.7659, 0.263147, -0.554135, 0.713387, -0.338773
cut, 1.4984, 2.7069, -0.7703, 0.264667, -0.553410, 0.712455, -0.340730
cut, 1.4984, 2.4805, -0.7703, 0.264667, -0.553410, 0.712455, -0.340730
cut, 1.4936, 2.4793, -0.7703, 0.264075, -0.553693, 0.712819, -0.339968
cut, 1.4887, 2.4781, -0.7703, 0.263480, -0.553977, 0.713184, -0.339201
cut, 1.4839, 2.4768, -0.7703, 0.262881, -0.554261, 0.713550, -0.338430
cut, 1.4790, 2.4756, -0.7703, 0.262279, -0.554546, 0.713917, -0.337655
cut, 1.4742, 2.4744, -0.7703, 0.261673, -0.554832, 0.714286, -0.336875
cut, 1.4693, 2.4731, -0.7703, 0.261063, -0.555119, 0.714655, -0.336090
cut, 1.4645, 2.4719, -0.7703, 0.260450, -0.555407, 0.715026, -0.335301
cut, 1.4596, 2.4706, -0.7703, 0.259834, -0.555696, 0.715397, -0.334507
cut, 1.4548, 2.4694, -0.7702, 0.259214, -0.555986, 0.715770, -0.333709
cut, 1.4500, 2.4682, -0.7702, 0.258590, -0.556276, 0.716144, -0.332906
cut, 1.4451, 2.4669, -0.7702, 0.257962, -0.556567, 0.716519, -0.332098
cut, 1.4403, 2.4657, -0.7702, 0.257331, -0.556859, 0.716895, -0.331285
cut, 1.4354, 2.4645, -0.7702, 0.256696, -0.557152, 0.717272, -0.330468
cut, 1.4306, 2.4632, -0.7702, 0.256058, -0.557446, 0.717650, -0.329646
cut, 1.4257, 2.4620, -0.7702, 0.255415, -0.557741, 0.718030, -0.328819
cut, 1.4209, 2.4608, -0.7702, 0.254769, -0.558036, 0.718410, -0.327987
cut, 1.4160, 2.4595, -0.7702, 0.254119, -0.558332, 0.718791, -0.327150
cut, 1.4112, 2.4583, -0.7702, 0.253465, -0.558630, 0.719174, -0.326309
cut, 1.4064, 2.4570, -0.7702, 0.252808, -0.558927, 0.719558, -0.325462
cut, 1.4015, 2.4558, -0.7702, 0.252146, -0.559226, 0.719942, -0.324610
cut, 1.3967, 2.4546, -0.7702, 0.251480, -0.559526, 0.720328, -0.323753
cut, 1.3918, 2.4533, -0.7702, 0.250811, -0.559826, 0.720715, -0.322891
cut, 1.3870, 2.4521, -0.7701, 0.250137, -0.560128, 0.721102, -0.322024
cut, 1.3821, 2.4509, -0.7701, 0.249460, -0.560430, 0.721491, -0.321152
cut, 1.3773, 2.4496, -0.7701, 0.248779, -0.560732, 0.721881, -0.320275
cut, 1.3724, 2.4484, -0.7701, 0.248093, -0.561036, 0.722272, -0.319392
cut, 1.3676, 2.4471, -0.7701, 0.247403, -0.561340, 0.722664, -0.318505
cut, 1.3628, 2.4459, -0.7701, 0.246710, -0.561646, 0.723057, -0.317612
cut, 1.3579, 2.4447, -0.7701, 0.246012, -0.561952, 0.723451, -0.316713
cut, 1.3531, 2.4434, -0.7701, 0.245310, -0.562258, 0.723846, -0.315810
cut, 1.3482, 2.4422, -0.7701, 0.244604, -0.562566, 0.724242, -0.314900
cut, 1.3434, 2.4410, -0.7701, 0.243893, -0.562874, 0.724639, -0.313986
cut, 1.3385, 2.4397, -0.7701, 0.243179, -0.563184, 0.725037, -0.313066
