bbox, -1987.5482, 2300.5306, -1705.8768, 3962.1267, 1000.0000, 350.0000
cut, 1.9846, 2.5, -1.2559, 0.000000, 0.000000, 1.000000, 0.000000
cut, 1.9846, 2.5, -1.6059, 0.000000, 0.000000, 1.000000, 0.000000
cut, 1.9646, 2.5, -1.6059, 0.000000, 0.000000, 1.000000, 0.000000
cut, 1.9646, 2.5, -1.4876, 0.000000, 0.000000, 1.000000, 0.000000
cut, 1.6425, 2.5, -1.3820, 0.000000, 0.000000, 1.000000, 0.000000
cut, 1.6379, 2.5, -1.3810, 0.000000, 0.000000, 1.000000, 0.000000
cut, 1.6329, 2.5, -1.3812, 0.000000, 0.000000, 1.000000, 0.000000
cut, 1.6279, 2.5, -1.3827, 0.000000, 0.000000, 1.000000, 0.000000
cut, 1.6234, 2.5, -1.3854, 0.000000, 0.000000, 1.000000, 0.000000
cut, 1.6199, 2.5, -1.3891, 0.000000, 0.000000, 1.000000, 0.000000
cut, 1.6176, 2.5, -1.3933, 0.000000, 0.000000, 1.000000, 0.000000
cut, 1.6171, 2.5, -1.3945, 0.000000, 0.000000, 1.000000, 0.000000
cut, 1.5899, 2.5, -1.4750, 0.000000, 0.000000, 1.000000, 0.000000
cut, 1.5879, 2.5, -1.4793, 0.000000, 0.000000, 1.000000, 0.000000
cut, 1.5847, 2.5, -1.4831, 0.000000, 0.000000, 1.000000, 0.000000
cut, 1.5805, 2.5, -1.4862, 0.000000, 0.000000, 1.000000, 0.000000
cut, 1.5756, 2.5, -1.4881, 0.000000, 0.000000, 1.000000, 0.000000
cut, 1.5706, 2.5, -1.4886, 0.000000, 0.000000, 1.000000, 0.000000
cut, 1.5658, 2.5, -1.4880, 0.000000, 0.000000, 1.000000, 0.000000
cut, 1.5646, 2.5, -1.4876, 0.000000, 0.000000, 1.000000, 0.000000
cut, 1.2425, 2.5, -1.3820, 0.000000, 0.000000, 1.000000, 0.000000
cut, 1.2379, 2.5, -1.3810, 0.000000, 0.000000, 1.000000, 0.000000
cut, 1.2329, 2.5, -1.3812, 0.000000, 0.000000, 1.000000, 0.000000
cut, 1.2279, 2.5, -1.3827, 0.000000, 0.000000, 1.000000, 0.000000
cut, 1.2234, 2.5, -1.3854, 0.000000, 0.000000, 1.000000, 0.000000
cut, 1.2199, 2.5, -1.3891, 0.000000, 0.000000, 1.000000, 0.000000
cut, 1.2176, 2.5, -1.3933, 0.000000, 0.000000, 1.000000, 0.000000
cut, 1.2171, 2.5, -1.3945, 0.000000, 0.000000, 1.000000, 0.000000
cut, 1.1899, 2.5, -1.4750, 0.000000, 0.000000, 1.000000, 0.000000
cut, 1.1879, 2.5, -1.4793, 0.000000, 0.000000, 1.000000, 0.000000
cut, 1.1847, 2.5, -1.4831, 0.000000, 0.000000, 1.000000, 0.000000
cut, 1.1805, 2.5, -1.4862, 0.000000, 0.000000, 1.000000, 0.000000
cut, 1.1756, 2.5, -1.4881, 0.000000, 0.000000, 1.000000, 0.000000
cut, 1.1706, 2.5, -1.4886, 0.000000, 0.000000, 1.000000, 0.000000
cut, 1.1658, 2.5, -1.4880, 0.000000, 0.000000, 1.000000, 0.000000
cut, 1.1646, 2.5, -1.4876, 0.000000, 0.000000, 1.000000, 0.000000
cut, 0.8425, 2.5, -1.3820, 0.000000, 0.000000, 1.000000, 0.000000
cut, 0.8379, 2.5, -1.3810, 0.000000, 0.000000, 1.000000, 0.000000
cut, 0.8329, 2.5, -1.3812, 0.000000, 0.000000, 1.000000, 0.000000
cut, 0.8279, 2.5, -1.3827, 0.000000, 0.000000, 1.000000, 0.000000
