bbox, 1535.0032, 600.0027, -1040.0000, 1400.0001, 400.0019, 550.0000
cut, 2.9450, 0.7952, -0.3685, 0.000000, 0.000000, 1.000000, 0.000000
cut, 2.9450, 0.7952, -0.4885, 0.000000, 0.000000, 1.000000, 0.000000
cut, 2.9004, 0.7952, -0.4885, 0.000000, 0.000000, 1.000000, 0.000000
cut, 2.9004, 0.7952, -0.6650, 0.000000, 0.000000, 1.000000, 0.000000
cut, 2.8994, 0.7952, -0.6699, -0.000010, -0.002832, 0.999989, -0.003630
cut, 2.8984, 0.7951, -0.6748, -0.000021, -0.005662, 0.999958, -0.007258
cut, 2.8974, 0.7951, -0.6797, -0.000031, -0.008489, 0.999905, -0.010882
cut, 2.8964, 0.7950, -0.6846, -0.000041, -0.011312, 0.999831, -0.014502
cut, 2.8954, 0.7949, -0.6895, -0.000051, -0.014132, 0.999736, -0.018117
cut, 2.8944, 0.7949, -0.6944, -0.000061, -0.016947, 0.999620, -0.021726
cut, 2.8934, 0.7948, -0.6993, -0.000071, -0.019757, 0.999484, -0.025329
cut, 2.8924, 0.7947, -0.7042, -0.000082, -0.022561, 0.999327, -0.028925
cut, 2.8914, 0.7947, -0.7091, -0.000092, -0.025359, 0.999150, -0.032513
cut, 2.8904, 0.7946, -0.7140, -0.000102, -0.028151, 0.998952, -0.036093
cut, 2.8894, 0.7946, -0.7189, -0.000112, -0.030936, 0.998734, -0.039664
cut, 2.8884, 0.7945, -0.7238, -0.000121, -0.033713, 0.998496, -0.043226
cut, 2.8874, 0.7944, -0.7287, -0.000131, -0.036482, 0.998239, -0.046778
cut, 2.8864, 0.7944, -0.7336, -0.000141, -0.039243, 0.997962, -0.050318
cut, 2.8854, 0.7943, -0.7385, -0.000151, -0.041995, 0.997666, -0.053848
cut, 2.8844, 0.7942, -0.7434, -0.000160, -0.044737, 0.997350, -0.057366
cut, 2.8843, 0.7942, -0.7439, -0.000160, -0.045000, 0.997319, -0.057703
cut, 2.8803, 0.7943, -0.7407, -0.000100, -0.044437, 0.997309, -0.058307
cut, 2.8763, 0.7943, -0.7375, -0.000046, -0.043934, 0.997299, -0.058861
cut, 2.8723, 0.7943, -0.7344, 0.000003, -0.043489, 0.997289, -0.059365
cut, 2.8683, 0.7944, -0.7312, 0.000046, -0.043100, 0.997278, -0.059823
cut, 2.8643, 0.7944, -0.7282, 0.000084, -0.042764, 0.997268, -0.060236
cut, 2.8603, 0.7944, -0.7251, 0.000118, -0.042479, 0.997257, -0.060606
cut, 2.8564, 0.7945, -0.7221, 0.000146, -0.042241, 0.997247, -0.060935
cut, 2.8524, 0.7945, -0.7191, 0.000170, -0.042049, 0.997238, -0.061227
cut, 2.8484, 0.7945, -0.7161, 0.000190, -0.041900, 0.997228, -0.061482
