bbox, 1235.0032, -774.9954, -1090.0000, 1400.0001, 550.0000, 400.0019
cut, 1.5520, -0.1893, -0.5729, -0.118380, 0.308887, 0.881205, -0.337718
cut, 1.4674, -0.2928, -0.7216, -0.118380, 0.308887, 0.881205, -0.337718
cut, 1.5541, -0.3637, -0.7216, -0.118380, 0.308887, 0.881205, -0.337718
cut, 1.6387, -0.2602, -0.5729, -0.118380, 0.308887, 0.881205, -0.337718
p2p,
cut, 1.3396, -0.6312, -0.5691, 0.109904, 0.310472, 0.890085, 0.315082
cut, 1.4188, -0.5335, -0.7246, 0.109904, 0.310472, 0.890085, 0.315082
cut, 1.3319, -0.4630, -0.7246, 0.109904, 0.310472, 0.890085, 0.315082
cut, 1.2526, -0.5608, -0.5691, 0.109904, 0.310472, 0.890085, 0.315082
p2p,
cut, 2.2313, -0.2602, -0.5729, 0.337718, 0.881205, 0.308887, 0.118380
cut, 2.3159, -0.3637, -0.7216, 0.337718, 0.881205, 0.308887, 0.118380
cut, 2.4026, -0.2928, -0.7216, 0.337718, 0.881205, 0.308887, 0.118380
cut, 2.3180, -0.1893, -0.5729, 0.337718, 0.881205, 0.308887, 0.118380
p2p,
cut, 2.5304, -0.6312, -0.5691, -0.315082, 0.890085, 0.310472, -0.109904
cut, 2.4512, -0.5335, -0.7246, -0.315082, 0.890085, 0.310472, -0.109904
cut, 2.5381, -0.4630, -0.7246, -0.315082, 0.890085, 0.310472, -0.109904
cut, 2.6174, -0.5608, -0.5691, -0.315082, 0.890085, 0.310472, -0.109904
p2p,
cut, 1.3396, -0.5015, -0.5700, 0.000000, 0.943848, -0.330380, 0.000000
cut, 1.3396, -0.5015, -1.0760, 0.000000, 0.943848, -0.330380, 0.000000
cut, 1.0843, -0.5015, -1.0760, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.0843, -0.5015, -0.5900, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.0893, -0.5015, -0.5900, 0.000000, 0.999999, 0.001379, 0.000000
cut, 1.0943, -0.5015, -0.5899, 0.000000, 0.999996, 0.002759, 0.000000
cut, 1.0993, -0.5015, -0.5899, 0.000000, 0.999991, 0.004138, 0.000000
cut, 1.1043, -0.5015, -0.5899, 0.000000, 0.999985, 0.005517, 0.000000
cut, 1.1093, -0.5015, -0.5899, 0.000000, 0.999976, 0.006896, 0.000000
cut, 1.1143, -0.5015, -0.5898, 0.000000, 0.999966, 0.008275, 0.000000
cut, 1.1193, -0.5015, -0.5898, 0.000000, 0.999953, 0.009654, 0.000000
cut, 1.1243, -0.5015, -0.5898, 0.000000, 0.999939, 0.011032, 0.000000
cut, 1.1293, -0.5015, -0.5898, 0.000000, 0.999923, 0.012411, 0.000000
cut, 1.1343, -0.5015, -0.5897, 0.000000, 0.999905, 0.013789, 0.000000
cut, 1.1393, -0.5015, -0.5897, 0.000000, 0.999885, 0.015167, 0.000000
cut, 1.1443, -0.5015, -0.5897, 0.000000, 0.999863, 0.016545, 0.000000
cut, 1.1493, -0.5015, -0.5897, 0.000000, 0.999839, 0.017922, 0.000000
cut, 1.1543, -0.5015, -0.5896, 0.000000, 0.999814, 0.019299, 0.000000
cut, 1.1593, -0.5015, -0.5896, 0.000000, 0.999786, 0.020676, 0.000000
cut, 1.1643, -0.5015, -0.5896, 0.000000, 0.999757, 0.022052, 0.000000
cut, 1.1693, -0.5015, -0.5896, 0.000000, 0.999726, 0.023428, 0.000000
cut, 1.1743, -0.5015, -0.5895, 0.000000, 0.999692, 0.024804, 0.000000
cut, 1.1793, -0.5015, -0.5895, 0.000000, 0.999657, 0.026179, 0.000000
cut, 1.1843, -0.5015, -0.5895, 0.000000, 0.999620, 0.027554, 0.000000
cut, 1.1893, -0.5015, -0.5895, 0.000000, 0.999581, 0.028928, 0.000000
cut, 1.1943, -0.5015, -0.5894, 0.000000, 0.999541, 0.030302, 0.000000
cut, 1.1993, -0.5015, -0.5894, 0.000000, 0.999498, 0.031676, 0.000000
cut, 1.2043, -0.5015, -0.5894, 0.000000, 0.999454, 0.033048, 0.000000
cut, 1.2093, -0.5015, -0.5894, 0.000000, 0.999407, 0.034421, 0.000000
cut, 1.2143, -0.5015, -0.5893, 0.000000, 0.999359, 0.035792, 0.000000
cut, 1.2193, -0.5015, -0.5893, 0.000000, 0.999309, 0.037163, 0.000000
cut, 1.2243, -0.5015, -0.5893, 0.000000, 0.999257, 0.038534, 0.000000
cut, 1.2293, -0.5015, -0.5893, 0.000000, 0.999204, 0.039903, 0.000000
cut, 1.2343, -0.5015, -0.5892, 0.000000, 0.999148, 0.041272, 0.000000
cut, 1.2393, -0.5015, -0.5892, 0.000000, 0.999090, 0.042641, 0.000000
cut, 1.2443, -0.5015, -0.5892, 0.000000, 0.999031, 0.044009, 0.000000
cut, 1.2493, -0.5015, -0.5892, 0.000000, 0.998970, 0.045375, 0.000000
cut, 1.2543, -0.5015, -0.5891, 0.000000, 0.998907, 0.046742, 0.000000
cut, 1.2593, -0.5015, -0.5891, 0.000000, 0.998842, 0.048107, 0.000000
cut, 1.2643, -0.5015, -0.5891, 0.000000, 0.998776, 0.049471, 0.000000
cut, 1.2693, -0.5015, -0.5891, 0.000000, 0.998707, 0.050835, 0.000000
cut, 1.2743, -0.5015, -0.5890, 0.000000, 0.998637, 0.052198, 0.000000
cut, 1.2793, -0.5015, -0.5890, 0.000000, 0.998565, 0.053560, 0.000000
cut, 1.2843, -0.5015, -0.5890, 0.000000, 0.998491, 0.054921, 0.000000
cut, 1.2893, -0.5015, -0.5890, 0.000000, 0.998415, 0.056281, 0.000000
cut, 1.2943, -0.5015, -0.5889, 0.000000, 0.998337, 0.057641, 0.000000
cut, 1.2993, -0.5015, -0.5889, 0.000000, 0.998258, 0.058999, 0.000000
cut, 1.3043, -0.5015, -0.5889, 0.000000, 0.998177, 0.060356, 0.000000
cut, 1.3093, -0.5015, -0.5889, 0.000000, 0.998094, 0.061712, 0.000000
cut, 1.3143, -0.5015, -0.5888, 0.000000, 0.998009, 0.063068, 0.000000
cut, 1.3193, -0.5015, -0.5888, 0.000000, 0.997923, 0.064422, 0.000000
cut, 1.3243, -0.5015, -0.5888, 0.000000, 0.997834, 0.065775, 0.000000
cut, 1.3293, -0.5015, -0.5888, 0.000000, 0.997744, 0.067127, 0.000000
cut, 1.3343, -0.5015, -0.5887, 0.000000, 0.997653, 0.068478, 0.000000
cut, 1.3393, -0.5015, -0.5887, 0.000000, 0.997559, 0.069828, 0.000000
cut, 1.3443, -0.5015, -0.5887, 0.000000, 0.997464, 0.071176, 0.000000
cut, 1.3493, -0.5015, -0.5887, 0.000000, 0.997367, 0.072524, 0.000000
cut, 1.3543, -0.5015, -0.5886, 0.000000, 0.997268, 0.073870, 0.000000
cut, 1.3593, -0.5015, -0.5886, 0.000000, 0.997167, 0.075215, 0.000000
cut, 1.3643, -0.5015, -0.5886, 0.000000, 0.997065, 0.076559, 0.000000
cut, 1.3693, -0.5015, -0.5886, 0.000000, 0.996961, 0.077901, 0.000000
cut, 1.3743, -0.5015, -0.5885, 0.000000, 0.996855, 0.079243, 0.000000
cut, 1.3793, -0.5015, -0.5885, 0.000000, 0.996748, 0.080583, 0.000000
cut, 1.3843, -0.5015, -0.5885, 0.000000, 0.996639, 0.081921, 0.000000
cut, 1.3893, -0.5015, -0.5885, 0.000000, 0.996528, 0.083258, 0.000000
cut, 1.3943, -0.5015, -0.5884, 0.000000, 0.996415, 0.084594, 0.000000
cut, 1.3993, -0.5015, -0.5884, 0.000000, 0.996301, 0.085929, 0.000000
cut, 1.4043, -0.5015, -0.5884, 0.000000, 0.996185, 0.087262, 0.000000
cut, 1.4093, -0.5015, -0.5884, 0.000000, 0.996068, 0.088594, 0.000000
cut, 1.4143, -0.5015, -0.5883, 0.000000, 0.995949, 0.089924, 0.000000
cut, 1.4193, -0.5015, -0.5883, 0.000000, 0.995828, 0.091253, 0.000000
