bbox, -1199.9489, 1960.0000, -1838.0000, 2400.0000, 1200.0000, 1550.0000
cut, 0.0001, 1.9600, -0.2130, 0.000000, 0.707107, 0.707107, 0.000000
cut, 0.0001, 1.9600, -0.2780, 0.000000, 0.707107, 0.707107, 0.000000
cut, 0.0001, 1.9600, -0.2130, 0.000000, 0.707107, 0.707107, 0.000000
p2p,
cut, -1.1999, 2.5600, -0.2130, 0.000000, 1.000000, 0.000000, 0.000000
cut, -1.1999, 2.5600, -0.2780, 0.000000, 1.000000, 0.000000, 0.000000
cut, -1.1999, 2.5600, -0.2130, 0.000000, 1.000000, 0.000000, 0.000000
p2p,
cut, 0.0001, 2.0085, -0.1980, 0.000000, -0.707107, 0.707107, 0.000000
cut, 0.0001, 2.0085, -1.7043, 0.000000, -0.707107, 0.707107, 0.000000
cut, 0.0001, 1.9485, -1.7043, 0.000000, -0.707107, 0.707107, 0.000000
cut, 0.0001, 1.9485, -0.2580, 0.000000, -0.707107, 0.707107, 0.000000
cut, 0.0001, 3.1115, -0.2580, 0.000000, -0.707107, 0.707107, 0.000000
cut, 0.0001, 3.1115, -1.4246, 0.000000, -0.707107, 0.707107, 0.000000
cut, 0.0001, 3.1715, -1.4246, 0.000000, -0.707107, 0.707107, 0.000000
cut, 0.0001, 3.1715, -0.2280, 0.000000, -0.707107, 0.707107, 0.000000
p2p,
cut, 1.2695, 2.5600, -0.1880, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.2695, 2.5600, -0.3265, 0.000000, 1.000000, 0.000000, 0.000000
cut, -1.0194, 2.5600, -0.3265, 0.000000, 1.000000, 0.000000, 0.000000
cut, -1.0194, 2.5600, -0.2280, 0.000000, 1.000000, 0.000000, 0.000000
p2p,
cut, -0.6950, 2.5600, -0.1851, 0.071353, 0.992470, -0.099306, -0.007139
cut, -0.6976, 2.5600, -0.1894, 0.071177, 0.992470, -0.099433, -0.007113
cut, -0.7002, 2.5600, -0.1937, 0.071001, 0.992470, -0.099560, -0.007086
cut, -0.7028, 2.5600, -0.1979, 0.070825, 0.992470, -0.099687, -0.007059
cut, -0.7055, 2.5600, -0.2022, 0.070649, 0.992470, -0.099814, -0.007033
cut, -0.7081, 2.5600, -0.2064, 0.070473, 0.992470, -0.099941, -0.007006
cut, -0.7107, 2.5600, -0.2107, 0.070297, 0.992470, -0.100068, -0.006979
cut, -0.7133, 2.5600, -0.2149, 0.070121, 0.992470, -0.100195, -0.006952
cut, -0.7160, 2.5600, -0.2192, 0.069945, 0.992469, -0.100322, -0.006926
cut, -0.7186, 2.5600, -0.2234, 0.069769, 0.992469, -0.100449, -0.006899
cut, -0.7212, 2.5600, -0.2277, 0.069593, 0.992469, -0.100576, -0.006872
cut, -0.7239, 2.5600, -0.2319, 0.069417, 0.992468, -0.100703, -0.006846
cut, -0.7265, 2.5600, -0.2362, 0.069241, 0.992468, -0.100830, -0.006819
cut, -0.7291, 2.5600, -0.2405, 0.069065, 0.992467, -0.100957, -0.006792
cut, -0.7317, 2.5600, -0.2447, 0.068889, 0.992467, -0.101084, -0.006765
cut, -0.7344, 2.5600, -0.2490, 0.068713, 0.992466, -0.101211, -0.006739
cut, -0.7365, 2.5600, -0.2524, 0.068570, 0.992466, -0.101314, -0.006717
cut, -0.7387, 2.5600, -0.2569, 0.067896, 0.992466, -0.101775, -0.006617
cut, -0.7410, 2.5600, -0.2613, 0.067221, 0.992465, -0.102236, -0.006516
cut, -0.7432, 2.5600, -0.2658, 0.066547, 0.992464, -0.102696, -0.006416
cut, -0.7455, 2.5600, -0.2703, 0.065872, 0.992461, -0.103157, -0.006315
cut, -0.7477, 2.5600, -0.2747, 0.065198, 0.992459, -0.103618, -0.006215
cut, -0.7500, 2.5600, -0.2792, 0.064524, 0.992455, -0.104079, -0.006115
cut, -0.7522, 2.5600, -0.2837, 0.063849, 0.992451, -0.104540, -0.006014
cut, -0.7545, 2.5600, -0.2881, 0.063175, 0.992446, -0.105000, -0.005914
cut, -0.7545, 2.5600, -0.2882, 0.063172, 0.992446, -0.105002, -0.005914
cut, -0.7566, 2.5600, -0.2927, 0.062460, 0.992450, -0.105397, -0.005813
cut, -0.7587, 2.5600, -0.2972, 0.061747, 0.992453, -0.105793, -0.005713
cut, -0.7609, 2.5600, -0.3017, 0.061035, 0.992455, -0.106188, -0.005613
cut, -0.7630, 2.5600, -0.3063, 0.060323, 0.992457, -0.106583, -0.005513
cut, -0.7651, 2.5600, -0.3108, 0.059610, 0.992458, -0.106979, -0.005412
cut, -0.7672, 2.5600, -0.3153, 0.058898, 0.992458, -0.107374, -0.005312
cut, -0.7694, 2.5600, -0.3198, 0.058186, 0.992458, -0.107769, -0.005212
cut, -0.7715, 2.5600, -0.3244, 0.057473, 0.992457, -0.108164, -0.005112
cut, -0.7715, 2.5600, -0.3245, 0.057461, 0.992457, -0.108171, -0.005110
cut, -0.7735, 2.5600, -0.3290, 0.056734, 0.992465, -0.108489, -0.005013
cut, -0.7755, 2.5600, -0.3336, 0.056007, 0.992472, -0.108808, -0.004915
cut, -0.7775, 2.5600, -0.3382, 0.055281, 0.992478, -0.109127, -0.004818
cut, -0.7795, 2.5600, -0.3428, 0.054554, 0.992483, -0.109445, -0.004720
cut, -0.7815, 2.5600, -0.3474, 0.053827, 0.992488, -0.109764, -0.004623
cut, -0.7835, 2.5600, -0.3519, 0.053100, 0.992493, -0.110082, -0.004526
cut, -0.7855, 2.5600, -0.3565, 0.052373, 0.992496, -0.110401, -0.004428
cut, -0.7875, 2.5600, -0.3611, 0.051646, 0.992499, -0.110719, -0.004331
cut, -0.7877, 2.5600, -0.3614, 0.051598, 0.992500, -0.110740, -0.004324
cut, -0.7893, 2.5600, -0.3661, 0.050855, 0.992499, -0.111092, -0.004223
cut, -0.7908, 2.5600, -0.3709, 0.050112, 0.992498, -0.111443, -0.004122
cut, -0.7924, 2.5600, -0.3756, 0.049368, 0.992496, -0.111795, -0.004021
cut, -0.7940, 2.5600, -0.3804, 0.048625, 0.992494, -0.112147, -0.003920
cut, -0.7956, 2.5600, -0.3851, 0.047882, 0.992490, -0.112498, -0.003819
cut, -0.7972, 2.5600, -0.3899, 0.047138, 0.992486, -0.112850, -0.003719
cut, -0.7988, 2.5600, -0.3946, 0.046395, 0.992482, -0.113202, -0.003618
cut, -0.8004, 2.5600, -0.3993, 0.045652, 0.992476, -0.113554, -0.003517
cut, -0.8004, 2.5600, -0.3995, 0.045625, 0.992476, -0.113566, -0.003513
cut, -0.8019, 2.5600, -0.4043, 0.044852, 0.992480, -0.113847, -0.003412
cut, -0.8033, 2.5600, -0.4091, 0.044080, 0.992482, -0.114127, -0.003311
cut, -0.8048, 2.5600, -0.4139, 0.043307, 0.992484, -0.114408, -0.003210
cut, -0.8063, 2.5600, -0.4186, 0.042534, 0.992486, -0.114688, -0.003109
cut, -0.8077, 2.5600, -0.4234, 0.041762, 0.992486, -0.114968, -0.003008
cut, -0.8092, 2.5600, -0.4282, 0.040989, 0.992486, -0.115249, -0.002906
cut, -0.8106, 2.5600, -0.4330, 0.040216, 0.992486, -0.115529, -0.002805
cut, -0.8121, 2.5600, -0.4378, 0.039443, 0.992484, -0.115809, -0.002704
cut, -0.8122, 2.5600, -0.4380, 0.039404, 0.992484, -0.115824, -0.002699
cut, -0.8135, 2.5600, -0.4428, 0.038626, 0.992492, -0.116024, -0.002601
cut, -0.8148, 2.5600, -0.4477, 0.037849, 0.992498, -0.116226, -0.002502
cut, -0.8161, 2.5600, -0.4525, 0.037072, 0.992504, -0.116427, -0.002404
cut, -0.8175, 2.5600, -0.4573, 0.036295, 0.992510, -0.116628, -0.002305
cut, -0.8188, 2.5600, -0.4621, 0.035518, 0.992514, -0.116830, -0.002206
cut, -0.8201, 2.5600, -0.4669, 0.034740, 0.992518, -0.117031, -0.002108
cut, -0.8214, 2.5600, -0.4718, 0.033963, 0.992522, -0.117232, -0.002009
cut, -0.8227, 2.5600, -0.4766, 0.033185, 0.992524, -0.117432, -0.001911
cut, -0.8229, 2.5600, -0.4771, 0.033107, 0.992525, -0.117453, -0.001901
cut, -0.8238, 2.5600, -0.4820, 0.032432, 0.992522, -0.117661, -0.001814
