bbox, -754.0833, 1456.7267, -1744.6004, 1510.2125, 587.9106, 1006.8083
cut, 0.8956, 2.6512, -0.3199, 0.000000, -0.613442, 0.789739, 0.000000
cut, 0.8956, 2.6498, -0.3247, 0.005467, -0.613418, 0.789708, -0.007038
cut, 0.8956, 2.6485, -0.3295, 0.010929, -0.613345, 0.789614, -0.014070
cut, 0.8956, 2.6472, -0.3343, 0.016384, -0.613224, 0.789458, -0.021092
cut, 0.8956, 2.6458, -0.3392, 0.021827, -0.613054, 0.789239, -0.028100
cut, 0.8956, 2.6445, -0.3440, 0.027255, -0.612837, 0.788960, -0.035088
cut, 0.8956, 2.6431, -0.3488, 0.032663, -0.612572, 0.788619, -0.042050
cut, 0.8956, 2.6418, -0.3536, 0.038049, -0.612261, 0.788219, -0.048984
cut, 0.8956, 2.6405, -0.3584, 0.043408, -0.611905, 0.787760, -0.055883
cut, 0.8956, 2.6391, -0.3632, 0.048737, -0.611503, 0.787243, -0.062744
cut, 0.8956, 2.6378, -0.3681, 0.054033, -0.611058, 0.786670, -0.069562
cut, 0.8956, 2.6364, -0.3729, 0.059293, -0.610570, 0.786042, -0.076333
cut, 0.8956, 2.6351, -0.3777, 0.064512, -0.610041, 0.785360, -0.083053
cut, 0.8956, 2.6338, -0.3825, 0.069690, -0.609471, 0.784627, -0.089718
cut, 0.8956, 2.6324, -0.3873, 0.074822, -0.608862, 0.783843, -0.096324
cut, 0.8956, 2.6311, -0.3921, 0.079905, -0.608216, 0.783011, -0.102869
cut, 0.8956, 2.6297, -0.3970, 0.084939, -0.607534, 0.782132, -0.109349
cut, 0.8956, 2.6284, -0.4018, 0.089919, -0.606816, 0.781209, -0.115761
cut, 0.8956, 2.6271, -0.4066, 0.094845, -0.606066, 0.780243, -0.122102
cut, 0.8956, 2.6257, -0.4114, 0.099713, -0.605284, 0.779237, -0.128369
cut, 0.8956, 2.6244, -0.4162, 0.104523, -0.604472, 0.778191, -0.134561
cut, 0.8956, 2.6230, -0.4210, 0.109272, -0.603632, 0.777109, -0.140676
cut, 0.8956, 2.6217, -0.4259, 0.113959, -0.602764, 0.775993, -0.146710
cut, 0.8956, 2.6204, -0.4307, 0.118584, -0.601872, 0.774843, -0.152663
cut, 0.8956, 2.6190, -0.4355, 0.123144, -0.600955, 0.773664, -0.158534
cut, 0.8956, 2.6177, -0.4403, 0.127638, -0.600017, 0.772455, -0.164320
cut, 0.8956, 2.6163, -0.4451, 0.132066, -0.599058, 0.771221, -0.170021
cut, 0.8956, 2.6150, -0.4499, 0.136428, -0.598079, 0.769961, -0.175636
cut, 0.8956, 2.6137, -0.4548, 0.140722, -0.597084, 0.768679, -0.181164
cut, 0.8956, 2.6123, -0.4596, 0.144948, -0.596072, 0.767377, -0.186605
cut, 0.8956, 2.6110, -0.4644, 0.149106, -0.595045, 0.766055, -0.191958
cut, 0.8956, 2.6096, -0.4692, 0.153196, -0.594006, 0.764717, -0.197223
cut, 0.8956, 2.6083, -0.4740, 0.157218, -0.592954, 0.763363, -0.202400
cut, 0.8956, 2.6070, -0.4789, 0.161171, -0.591892, 0.761995, -0.207490
cut, 0.8956, 2.6056, -0.4837, 0.165056, -0.590820, 0.760615, -0.212491
cut, 0.8956, 2.6043, -0.4885, 0.168873, -0.589740, 0.759225, -0.217406
cut, 0.8956, 2.6029, -0.4933, 0.172623, -0.588653, 0.757826, -0.222233
cut, 0.8956, 2.6016, -0.4981, 0.176305, -0.587561, 0.756420, -0.226974
cut, 0.8956, 2.6003, -0.5029, 0.179922, -0.586464, 0.755008, -0.231629
cut, 0.8956, 2.5989, -0.5078, 0.183472, -0.585363, 0.753590, -0.236199
cut, 0.8956, 2.5976, -0.5126, 0.186956, -0.584259, 0.752169, -0.240686
cut, 0.8956, 2.5962, -0.5174, 0.190376, -0.583154, 0.750746, -0.245088
cut, 0.8956, 2.5949, -0.5222, 0.193732, -0.582048, 0.749322, -0.249409
cut, 0.8956, 2.5936, -0.5270, 0.197025, -0.580941, 0.747898, -0.253648
cut, 0.8956, 2.5922, -0.5318, 0.200255, -0.579836, 0.746474, -0.257807
cut, 0.8956, 2.5909, -0.5367, 0.203424, -0.578731, 0.745053, -0.261887
cut, 0.8956, 2.5895, -0.5415, 0.206533, -0.577629, 0.743634, -0.265888
cut, 0.8956, 2.5882, -0.5463, 0.209582, -0.576530, 0.742219, -0.269813
cut, 0.8956, 2.5869, -0.5511, 0.212572, -0.575435, 0.740808, -0.273663
cut, 0.8956, 2.5855, -0.5559, 0.215504, -0.574343, 0.739403, -0.277437
cut, 0.8956, 2.5842, -0.5607, 0.218379, -0.573256, 0.738003, -0.281139
cut, 0.8956, 2.5828, -0.5656, 0.221199, -0.572174, 0.736610, -0.284769
cut, 0.8956, 2.5815, -0.5704, 0.223964, -0.571097, 0.735224, -0.288329
cut, 0.8956, 2.5801, -0.5752, 0.226675, -0.570026, 0.733846, -0.291819
