bbox, 209.2779, 7424.8696, -3101.8853, 1737.4181, 725.7474, 1045.6676
cut, 1.0037, 2.6076, -0.4048, 0.016557, -0.613219, 0.789452, -0.021316
cut, 1.0037, 2.6009, -0.4288, 0.043861, -0.611872, 0.787718, -0.056467
cut, 1.0037, 2.5942, -0.4529, 0.070400, -0.609389, 0.784522, -0.090632
cut, 1.0037, 2.5875, -0.4770, 0.095778, -0.605919, 0.780054, -0.123304
cut, 1.0037, 2.5808, -0.5011, 0.119702, -0.601650, 0.774558, -0.154103
cut, 1.0037, 2.5741, -0.5252, 0.141984, -0.596785, 0.768295, -0.182789
cut, 1.0037, 2.5674, -0.5493, 0.162538, -0.591518, 0.761514, -0.209250
cut, 1.0037, 2.5607, -0.5734, 0.181360, -0.586021, 0.754437, -0.233481
cut, 1.0037, 2.5540, -0.5974, 0.198506, -0.580437, 0.747249, -0.255554
cut, 1.0037, 2.5473, -0.6215, 0.214071, -0.574878, 0.740092, -0.275593
cut, 1.0037, 2.5406, -0.6456, 0.228175, -0.569427, 0.733075, -0.293750
cut, 1.0037, 2.5339, -0.6697, 0.240946, -0.564143, 0.726271, -0.310191
cut, 1.0037, 2.5272, -0.6938, 0.252511, -0.559062, 0.719730, -0.325080
cut, 1.0037, 2.5205, -0.7179, 0.262994, -0.554207, 0.713481, -0.338576
cut, 0.9891, 2.3277, -0.7219, 0.262512, -0.554436, 0.713775, -0.337955
cut, 0.9649, 2.3215, -0.7219, 0.258817, -0.556170, 0.716008, -0.333199
cut, 0.9407, 2.3153, -0.7218, 0.254990, -0.557935, 0.718280, -0.328271
cut, 0.9165, 2.3092, -0.7218, 0.251025, -0.559730, 0.720591, -0.323167
cut, 0.8922, 2.3030, -0.7218, 0.246916, -0.561555, 0.722940, -0.317876
cut, 0.8680, 2.2968, -0.7217, 0.242657, -0.563409, 0.725326, -0.312394
cut, 0.8438, 2.2906, -0.7217, 0.238243, -0.565289, 0.727748, -0.306711
cut, 0.8196, 2.2844, -0.7217, 0.233667, -0.567196, 0.730202, -0.300820
cut, 0.7954, 2.2782, -0.7216, 0.228924, -0.569127, 0.732688, -0.294714
cut, 0.7711, 2.2720, -0.7216, 0.224006, -0.571080, 0.735203, -0.288383
cut, 0.7469, 2.2659, -0.7216, 0.218909, -0.573054, 0.737743, -0.281821
cut, 0.7227, 2.2597, -0.7215, 0.213626, -0.575044, 0.740306, -0.275020
cut, 0.6985, 2.2535, -0.7215, 0.208151, -0.577048, 0.742886, -0.267971
