[rosmaster.main][INFO] 2021-04-16 10:47:48,882: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-04-16 10:47:48,882: Starting ROS Master Node
[xmlrpc][INFO] 2021-04-16 10:47:48,883: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-04-16 10:47:48,883: Started XML-RPC server [http://HP-Spectre:11311/]
[xmlrpc][INFO] 2021-04-16 10:47:48,883: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-04-16 10:47:48,883: Master initialized: port[11311], uri[http://HP-Spectre:11311/]
[rosmaster.master][INFO] 2021-04-16 10:47:48,917: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-04-16 10:47:48,918: +PARAM [/roslaunch/uris/host_hp_spectre__37515] by /roslaunch
[rosmaster.master][INFO] 2021-04-16 10:47:48,993: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2021-04-16 10:47:48,993: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2021-04-16 10:47:48,993: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2021-04-16 10:47:48,993: +PARAM [/robot_description_freespace] by /roslaunch
[rosmaster.master][INFO] 2021-04-16 10:47:48,993: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2021-04-16 10:47:48,993: +PARAM [/robot_description_freespace_semantic] by /roslaunch
[rosmaster.master][INFO] 2021-04-16 10:47:48,994: +PARAM [/wire_cutting_wire_cutting_node/plotting] by /roslaunch
[rosmaster.master][INFO] 2021-04-16 10:47:48,994: +PARAM [/wire_cutting_wire_cutting_node/rviz] by /roslaunch
[rosmaster.master][INFO] 2021-04-16 10:47:49,002: +SERVICE [/rosout/get_loggers] /rosout http://HP-Spectre:45821/
[rosmaster.master][INFO] 2021-04-16 10:47:49,003: +SERVICE [/rosout/set_logger_level] /rosout http://HP-Spectre:45821/
[rosmaster.master][INFO] 2021-04-16 10:47:49,004: +PUB [/rosout_agg] /rosout http://HP-Spectre:45821/
[rosmaster.master][INFO] 2021-04-16 10:47:49,006: +SUB [/rosout] /rosout http://HP-Spectre:45821/
[rosmaster.master][INFO] 2021-04-16 10:47:49,029: +PUB [/rosout] /virtual_joint_broadcaster_0 http://HP-Spectre:38029/
[rosmaster.master][INFO] 2021-04-16 10:47:49,030: +SERVICE [/virtual_joint_broadcaster_0/get_loggers] /virtual_joint_broadcaster_0 http://HP-Spectre:38029/
[rosmaster.master][INFO] 2021-04-16 10:47:49,030: +SERVICE [/virtual_joint_broadcaster_0/set_logger_level] /virtual_joint_broadcaster_0 http://HP-Spectre:38029/
[rosmaster.master][INFO] 2021-04-16 10:47:49,031: +PUB [/tf] /virtual_joint_broadcaster_0 http://HP-Spectre:38029/
[rosmaster.master][INFO] 2021-04-16 10:47:49,083: publisherUpdate[/rosout] -> http://HP-Spectre:45821/ ['http://HP-Spectre:38029/']
[rosmaster.master][INFO] 2021-04-16 10:47:49,086: publisherUpdate[/rosout] -> http://HP-Spectre:45821/ ['http://HP-Spectre:38029/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2021-04-16 10:47:49,103: +PUB [/rosout] /wire_cutting_wire_cutting_node http://HP-Spectre:36051/
[rosmaster.master][INFO] 2021-04-16 10:47:49,104: +SERVICE [/wire_cutting_wire_cutting_node/get_loggers] /wire_cutting_wire_cutting_node http://HP-Spectre:36051/
[rosmaster.master][INFO] 2021-04-16 10:47:49,105: +SERVICE [/wire_cutting_wire_cutting_node/set_logger_level] /wire_cutting_wire_cutting_node http://HP-Spectre:36051/
[rosmaster.master][INFO] 2021-04-16 10:47:49,128: +PUB [/rosout] /wire_cutting_wire_cutting_rviz http://HP-Spectre:36089/
