DESCRIPTION,oldexact,new_exact,dapprox,dexact,ratio
Solver, 4.145e+02, 2.402e+02, 1.805e+02, 1.743e+02, 9.656e-01
Solver, 2.402e+02, 1.095e+02, 1.413e+02, 1.307e+02, 9.251e-01
Solver, 1.095e+02, 5.729e+01, 6.071e+01, 5.217e+01, 8.593e-01
Solver, 5.729e+01, 1.979e+01, 4.765e+01, 3.750e+01, 7.870e-01
Solver, 1.979e+01, 8.365e+00, 1.977e+01, 1.143e+01, 5.780e-01
Solver, 8.365e+00, 1.429e+00, 8.326e+00, 6.936e+00, 8.331e-01
Solver, 1.429e+00, 2.873e+00, 1.405e+00,-1.444e+00,-1.028e+00
Solver, 1.429e+00, 2.855e+00, 1.419e+00,-1.426e+00,-1.005e+00
Solver, 1.429e+00, 8.918e-02, 1.415e+00, 1.340e+00, 9.473e-01
Solver, 8.918e-02, 2.200e+00, 5.458e-02,-2.110e+00,-3.866e+01
Solver, 8.918e-02, 3.256e-01, 7.470e-02,-2.364e-01,-3.165e+00
Solver, 6.962e-01, 2.082e+00, 6.836e-01,-1.386e+00,-2.028e+00
Solver, 6.962e-01, 2.724e-01, 6.817e-01, 4.237e-01, 6.216e-01
Solver, 2.724e-01, 7.052e-01, 2.561e-01,-4.327e-01,-1.690e+00
Solver, 2.587e+00, 7.233e-01, 2.574e+00, 1.864e+00, 7.242e-01
Solver, 7.233e-01, 1.189e+00, 7.081e-01,-4.654e-01,-6.572e-01
Solver, 7.233e-01, 1.408e-02, 7.104e-01, 7.092e-01, 9.983e-01
Solver, 1.408e-02, 4.646e+00, 1.884e-03,-4.632e+00,-2.459e+03
