COST NAMES,cartesian_waypoint_0,cartesian_waypoint_0,cartesian_waypoint_0,cartesian_waypoint_0,cartesian_waypoint_1,cartesian_waypoint_1,cartesian_waypoint_1,cartesian_waypoint_1,cartesian_waypoint_2,cartesian_waypoint_2,cartesian_waypoint_2,cartesian_waypoint_2,cartesian_waypoint_3,cartesian_waypoint_3,cartesian_waypoint_3,cartesian_waypoint_3,cartesian_waypoint_4,cartesian_waypoint_4,cartesian_waypoint_4,cartesian_waypoint_4,cartesian_waypoint_5,cartesian_waypoint_5,cartesian_waypoint_5,cartesian_waypoint_5,cartesian_waypoint_6,cartesian_waypoint_6,cartesian_waypoint_6,cartesian_waypoint_6,cartesian_waypoint_7,cartesian_waypoint_7,cartesian_waypoint_7,cartesian_waypoint_7,cartesian_waypoint_8,cartesian_waypoint_8,cartesian_waypoint_8,cartesian_waypoint_8,cartesian_waypoint_9,cartesian_waypoint_9,cartesian_waypoint_9,cartesian_waypoint_9,cartesian_waypoint_10,cartesian_waypoint_10,cartesian_waypoint_10,cartesian_waypoint_10,collision_0,collision_0,collision_0,collision_0,collision_1,collision_1,collision_1,collision_1,collision_2,collision_2,collision_2,collision_2,collision_3,collision_3,collision_3,collision_3,collision_4,collision_4,collision_4,collision_4,collision_5,collision_5,collision_5,collision_5,collision_6,collision_6,collision_6,collision_6,collision_7,collision_7,collision_7,collision_7,collision_8,collision_8,collision_8,collision_8,collision_9,collision_9,collision_9,collision_9,joint_vel_cost,joint_vel_cost,joint_vel_cost,joint_vel_cost,joint_accel_cost,joint_accel_cost,joint_accel_cost,joint_accel_cost,joint_jerk_cost,joint_jerk_cost,joint_jerk_cost,joint_jerk_cost
DESCRIPTION,oldexact,dapprox,dexact,ratio,oldexact,dapprox,dexact,ratio,oldexact,dapprox,dexact,ratio,oldexact,dapprox,dexact,ratio,oldexact,dapprox,dexact,ratio,oldexact,dapprox,dexact,ratio,oldexact,dapprox,dexact,ratio,oldexact,dapprox,dexact,ratio,oldexact,dapprox,dexact,ratio,oldexact,dapprox,dexact,ratio,oldexact,dapprox,dexact,ratio,oldexact,dapprox,dexact,ratio,oldexact,dapprox,dexact,ratio,oldexact,dapprox,dexact,ratio,oldexact,dapprox,dexact,ratio,oldexact,dapprox,dexact,ratio,oldexact,dapprox,dexact,ratio,oldexact,dapprox,dexact,ratio,oldexact,dapprox,dexact,ratio,oldexact,dapprox,dexact,ratio,oldexact,dapprox,dexact,ratio,oldexact,dapprox,dexact,ratio,oldexact,dapprox,dexact,ratio,oldexact,dapprox,dexact,ratio
COSTS,6.246181e-04,-1.562506e-01,-1.522710e-01,9.745306e-01,6.246181e-04,-1.562506e-01,-1.522710e-01,9.745306e-01,6.246181e-04,-1.562506e-01,-1.522710e-01,9.745306e-01,6.246181e-04,-1.562506e-01,-1.522710e-01,9.745306e-01,6.246181e-04,-1.562506e-01,-1.522710e-01,9.745306e-01,6.246181e-04,-1.562506e-01,-1.522710e-01,9.745306e-01,6.246181e-04,-1.562506e-01,-1.522710e-01,9.745306e-01,6.246181e-04,-1.562506e-01,-1.522710e-01,9.745306e-01,6.246181e-04,-1.562506e-01,-1.522710e-01,9.745306e-01,6.246181e-04,-1.562506e-01,-1.522710e-01,9.745306e-01,6.246181e-04,-1.562506e-01,-1.522710e-01,9.745306e-01,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,-1.776357e-15,-1.397840e-30,nan,0.000000e+00,-1.776357e-15,-3.025443e-30,nan,0.000000e+00,-1.110223e-15,-7.712386e-30,nan
COSTS,1.528956e-01,-2.035165e-01,-1.968162e-01,9.670770e-01,1.528956e-01,-2.035165e-01,-1.968162e-01,9.670770e-01,1.528956e-01,-2.035165e-01,-1.968162e-01,9.670770e-01,1.528956e-01,-2.035165e-01,-1.968162e-01,9.670770e-01,1.528956e-01,-2.035165e-01,-1.968162e-01,9.670770e-01,1.528956e-01,-2.035165e-01,-1.968162e-01,9.670770e-01,1.528956e-01,-2.035165e-01,-1.968162e-01,9.670770e-01,1.528956e-01,-2.035165e-01,-1.968162e-01,9.670770e-01,1.528956e-01,-2.035165e-01,-1.968162e-01,9.670770e-01,1.528956e-01,-2.035165e-01,-1.968162e-01,9.670770e-01,1.528956e-01,-2.035165e-01,-1.968162e-01,9.670770e-01,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,1.397840e-30,-8.881784e-16,-6.677889e-22,nan,3.025443e-30,-4.440892e-16,-1.867423e-21,nan,7.712386e-30,3.330669e-16,-5.434604e-21,nan
COSTS,3.497118e-01,2.010100e-01,1.956742e-01,9.734549e-01,3.497118e-01,2.017330e-01,1.962353e-01,9.727476e-01,3.497118e-01,2.024560e-01,1.967974e-01,9.720503e-01,3.497118e-01,2.031789e-01,1.973605e-01,9.713631e-01,3.497118e-01,2.039019e-01,1.979247e-01,9.706856e-01,3.497118e-01,2.046249e-01,1.984898e-01,9.700179e-01,3.497118e-01,2.039019e-01,1.979247e-01,9.706856e-01,3.497118e-01,2.031789e-01,1.973605e-01,9.713631e-01,3.497118e-01,2.024560e-01,1.967974e-01,9.720503e-01,3.497118e-01,2.017330e-01,1.962353e-01,9.727476e-01,3.497118e-01,2.010100e-01,1.956742e-01,9.734549e-01,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,6.677889e-22,-9.408105e-04,-9.408105e-04,1.000000e+00,1.867423e-21,-3.763242e-04,-3.763242e-04,1.000000e+00,5.434604e-21,-1.881621e-04,-7.526484e-04,4.000000e+00
COSTS,1.540377e-01,-3.154312e-02,-3.502013e-02,1.110230e+00,1.534766e-01,-3.236436e-02,-3.612151e-02,1.116089e+00,1.529144e-01,-3.314452e-02,-3.718331e-02,1.121854e+00,1.523513e-01,-3.388362e-02,-3.820542e-02,1.127548e+00,1.517871e-01,-3.458170e-02,-3.918774e-02,1.133193e+00,1.512220e-01,-3.523877e-02,-4.013015e-02,1.138807e+00,1.517871e-01,-3.458170e-02,-3.918774e-02,1.133193e+00,1.523513e-01,-3.388362e-02,-3.820542e-02,1.127548e+00,1.529144e-01,-3.314452e-02,-3.718331e-02,1.121854e+00,1.534766e-01,-3.236436e-02,-3.612151e-02,1.116089e+00,1.540377e-01,-3.154312e-02,-3.502013e-02,1.110230e+00,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,9.408105e-04,-2.432913e-05,-2.432913e-05,1.000000e+00,3.763242e-04,-1.499121e-05,-1.499121e-05,1.000000e+00,7.526484e-04,5.563368e-04,-3.260892e-05,-5.861363e-02
COSTS,1.890578e-01,1.890578e-01,1.319527e-01,6.979491e-01,1.895981e-01,1.895981e-01,1.325988e-01,6.993677e-01,1.900977e-01,1.900977e-01,1.331971e-01,7.006769e-01,1.905567e-01,1.905567e-01,1.337471e-01,7.018757e-01,1.909749e-01,1.909749e-01,1.342482e-01,7.029625e-01,1.913521e-01,1.913521e-01,1.346996e-01,7.039359e-01,1.909749e-01,1.909749e-01,1.342482e-01,7.029625e-01,1.905567e-01,1.905567e-01,1.337471e-01,7.018757e-01,1.900977e-01,1.900977e-01,1.331971e-01,7.006769e-01,1.895981e-01,1.895981e-01,1.325988e-01,6.993677e-01,1.890578e-01,1.890578e-01,1.319527e-01,6.979491e-01,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,9.651396e-04,-1.297070e-03,-1.297070e-03,1.000000e+00,3.913154e-04,-4.419391e-04,-4.419391e-04,1.000000e+00,7.852573e-04,3.777729e-04,-8.456309e-04,-2.238463e+00
COSTS,5.710507e-02,5.710507e-02,5.537478e-02,9.696998e-01,5.699931e-02,5.699931e-02,5.529339e-02,9.700713e-01,5.690064e-02,5.690064e-02,5.521702e-02,9.704113e-01,5.680959e-02,5.680959e-02,5.514647e-02,9.707247e-01,5.672670e-02,5.672670e-02,5.508459e-02,9.710522e-01,5.665248e-02,5.665248e-02,5.502469e-02,9.712670e-01,5.672670e-02,5.672670e-02,5.508459e-02,9.710522e-01,5.680959e-02,5.680959e-02,5.514647e-02,9.707247e-01,5.690064e-02,5.690064e-02,5.521702e-02,9.704113e-01,5.699931e-02,5.699931e-02,5.529339e-02,9.700713e-01,5.710507e-02,5.710507e-02,5.537477e-02,9.696998e-01,0.000000e+00,-5.396382e-07,0.000000e+00,-0.000000e+00,0.000000e+00,-8.118331e-07,0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,0.000000e+00,0.000000e+00,nan,0.000000e+00,-8.116222e-07,0.000000e+00,-0.000000e+00,0.000000e+00,-5.373766e-07,0.000000e+00,-0.000000e+00,2.262209e-03,-3.222978e-03,-3.222978e-03,1.000000e+00,8.332545e-04,-9.904237e-04,-9.904237e-04,1.000000e+00,1.630888e-03,7.640815e-04,-1.824475e-03,-2.387801e+00
COSTS,1.730293e-03,-2.923815e-02,-2.935215e-02,1.003899e+00,1.705916e-03,-2.393835e-02,-2.400519e-02,1.002792e+00,1.683615e-03,-1.855246e-02,-1.858742e-02,1.001885e+00,1.663119e-03,-8.718856e-03,-8.721389e-03,1.000291e+00,1.642112e-03,-2.920997e-03,-2.919182e-03,9.993785e-01,1.627794e-03,1.627794e-03,1.514469e-03,9.303814e-01,1.642113e-03,-2.934079e-03,-2.932259e-03,9.993795e-01,1.663120e-03,-8.754567e-03,-8.757174e-03,1.000298e+00,1.683616e-03,-1.855114e-02,-1.858609e-02,1.001884e+00,1.705917e-03,-2.393875e-02,-2.400560e-02,1.002792e+00,1.730294e-03,-2.923801e-02,-2.935200e-02,1.003899e+00,0.000000e+00,5.135435e-10,0.000000e+00,nan,0.000000e+00,7.989997e-10,0.000000e+00,nan,0.000000e+00,3.328736e-04,0.000000e+00,0.000000e+00,0.000000e+00,-9.887265e-05,0.000000e+00,-0.000000e+00,0.000000e+00,3.993731e-04,0.000000e+00,0.000000e+00,0.000000e+00,3.243022e-04,0.000000e+00,0.000000e+00,0.000000e+00,-1.069807e-04,0.000000e+00,-0.000000e+00,0.000000e+00,3.283261e-04,0.000000e+00,0.000000e+00,0.000000e+00,7.456575e-10,0.000000e+00,nan,0.000000e+00,5.413023e-10,0.000000e+00,nan,5.485187e-03,3.641181e-03,3.641181e-03,1.000000e+00,1.823678e-03,-1.542924e-04,-1.542924e-04,1.000000e+00,3.455363e-03,2.502765e-03,-1.799686e-03,-7.190788e-01
COSTS,3.108244e-02,9.249287e-03,9.238548e-03,9.988389e-01,2.571110e-02,1.584207e-03,1.584164e-03,9.999725e-01,2.027104e-02,-6.171432e-05,-6.174790e-05,1.000544e+00,1.038451e-02,-3.968025e-03,-3.970698e-03,1.000674e+00,4.561295e-03,-4.033995e-03,-4.036233e-03,1.000555e+00,1.133247e-04,-2.869993e-03,-2.870804e-03,1.000282e+00,4.574371e-03,-4.022385e-03,-4.024615e-03,1.000554e+00,1.042029e-02,-3.934010e-03,-3.936640e-03,1.000668e+00,2.026971e-02,-6.250166e-05,-6.253545e-05,1.000541e+00,2.571151e-02,1.591004e-03,1.590959e-03,9.999719e-01,3.108230e-02,9.132433e-03,9.122002e-03,9.988579e-01,0.000000e+00,4.776375e-04,0.000000e+00,0.000000e+00,0.000000e+00,-8.231288e-12,0.000000e+00,nan,0.000000e+00,-1.655519e-13,0.000000e+00,nan,0.000000e+00,-3.707381e-14,0.000000e+00,nan,0.000000e+00,-3.487176e-14,0.000000e+00,nan,0.000000e+00,-6.545869e-14,0.000000e+00,nan,0.000000e+00,-5.038125e-14,0.000000e+00,nan,0.000000e+00,4.651971e-14,0.000000e+00,nan,0.000000e+00,-7.967416e-12,0.000000e+00,nan,0.000000e+00,4.551525e-04,0.000000e+00,0.000000e+00,1.844006e-03,-2.432162e-03,-2.432162e-03,1.000000e+00,1.977971e-03,-8.085427e-04,-8.085427e-04,1.000000e+00,5.255049e-03,4.475429e-03,3.376060e-03,7.543545e-01
COSTS,3.108244e-02,7.195332e-03,7.189327e-03,9.991654e-01,2.571110e-02,-5.665431e-04,-5.668445e-04,1.000532e+00,2.027104e-02,-3.988749e-05,-3.991635e-05,1.000724e+00,1.038451e-02,-3.966336e-03,-3.969006e-03,1.000673e+00,4.561295e-03,-4.036056e-03,-4.038298e-03,1.000555e+00,1.133247e-04,-2.869376e-03,-2.870186e-03,1.000282e+00,4.574371e-03,-4.024379e-03,-4.026612e-03,1.000555e+00,1.042029e-02,-3.932390e-03,-3.935018e-03,1.000668e+00,2.026971e-02,-4.121582e-05,-4.124500e-05,1.000708e+00,2.571151e-02,-5.661350e-04,-5.664362e-04,1.000532e+00,3.108230e-02,7.195208e-03,7.189204e-03,9.991655e-01,0.000000e+00,-2.000271e-29,0.000000e+00,nan,0.000000e+00,-2.000271e-29,0.000000e+00,nan,0.000000e+00,-2.000271e-29,0.000000e+00,nan,0.000000e+00,-2.000271e-29,0.000000e+00,nan,0.000000e+00,-2.000271e-29,0.000000e+00,nan,0.000000e+00,-2.000271e-29,0.000000e+00,nan,0.000000e+00,-2.000271e-29,0.000000e+00,nan,0.000000e+00,-2.000271e-29,0.000000e+00,nan,0.000000e+00,-2.000271e-29,0.000000e+00,nan,0.000000e+00,-2.000271e-29,0.000000e+00,nan,1.844006e-03,-2.303280e-03,-2.303280e-03,1.000000e+00,1.977971e-03,-2.238680e-03,-2.238680e-03,1.000000e+00,5.255049e-03,4.119031e-03,7.248940e-04,1.759865e-01
