NAMES,j_0_0,j_0_1,j_0_2,j_0_3,j_0_4,j_0_5,j_1_0,j_1_1,j_1_2,j_1_3,j_1_4,j_1_5,j_2_0,j_2_1,j_2_2,j_2_3,j_2_4,j_2_5,j_3_0,j_3_1,j_3_2,j_3_3,j_3_4,j_3_5,j_4_0,j_4_1,j_4_2,j_4_3,j_4_4,j_4_5,j_5_0,j_5_1,j_5_2,j_5_3,j_5_4,j_5_5,j_6_0,j_6_1,j_6_2,j_6_3,j_6_4,j_6_5,j_7_0,j_7_1,j_7_2,j_7_3,j_7_4,j_7_5,j_8_0,j_8_1,j_8_2,j_8_3,j_8_4,j_8_5,j_9_0,j_9_1,j_9_2,j_9_3,j_9_4,j_9_5,j_10_0,j_10_1,j_10_2,j_10_3,j_10_4,j_10_5
VALUES,1.670000e+00,1.000000e-01,-9.898680e-02,1.000000e-01,1.470000e+00,-1.000000e-01,1.670000e+00,1.000000e-01,-9.898680e-02,1.000000e-01,1.470000e+00,-1.000000e-01,1.670000e+00,1.000000e-01,-9.898680e-02,1.000000e-01,1.470000e+00,-1.000000e-01,1.670000e+00,1.000000e-01,-9.898680e-02,1.000000e-01,1.470000e+00,-1.000000e-01,1.670000e+00,1.000000e-01,-9.898680e-02,1.000000e-01,1.470000e+00,-1.000000e-01,1.670000e+00,1.000000e-01,-9.898680e-02,1.000000e-01,1.470000e+00,-1.000000e-01,1.670000e+00,1.000000e-01,-9.898680e-02,1.000000e-01,1.470000e+00,-1.000000e-01,1.670000e+00,1.000000e-01,-9.898680e-02,1.000000e-01,1.470000e+00,-1.000000e-01,1.670000e+00,1.000000e-01,-9.898680e-02,1.000000e-01,1.470000e+00,-1.000000e-01,1.670000e+00,1.000000e-01,-9.898680e-02,1.000000e-01,1.470000e+00,-1.000000e-01,1.670000e+00,1.000000e-01,-9.898680e-02,1.000000e-01,1.470000e+00,-1.000000e-01
VALUES,1.820000e+00,2.500000e-01,-2.222381e-01,2.500000e-01,1.320000e+00,-2.500000e-01,1.820000e+00,2.500000e-01,-2.222381e-01,2.500000e-01,1.320000e+00,-2.500000e-01,1.820000e+00,2.500000e-01,-2.222381e-01,2.500000e-01,1.320000e+00,-2.500000e-01,1.820000e+00,2.500000e-01,-2.222381e-01,2.500000e-01,1.320000e+00,-2.500000e-01,1.820000e+00,2.500000e-01,-2.222381e-01,2.500000e-01,1.320000e+00,-2.500000e-01,1.820000e+00,2.500000e-01,-2.222381e-01,2.500000e-01,1.320000e+00,-2.500000e-01,1.820000e+00,2.500000e-01,-2.222381e-01,2.500000e-01,1.320000e+00,-2.500000e-01,1.820000e+00,2.500000e-01,-2.222381e-01,2.500000e-01,1.320000e+00,-2.500000e-01,1.820000e+00,2.500000e-01,-2.222381e-01,2.500000e-01,1.320000e+00,-2.500000e-01,1.820000e+00,2.500000e-01,-2.222381e-01,2.500000e-01,1.320000e+00,-2.500000e-01,1.820000e+00,2.500000e-01,-2.222381e-01,2.500000e-01,1.320000e+00,-2.500000e-01
VALUES,1.997490e+00,4.750000e-01,-3.928903e-01,2.500000e-02,1.295261e+00,-4.750000e-01,1.997792e+00,4.750000e-01,-3.856509e-01,2.500000e-02,1.288813e+00,-4.750000e-01,1.998093e+00,4.750000e-01,-3.784114e-01,2.500000e-02,1.282364e+00,-4.750000e-01,1.998394e+00,4.750000e-01,-3.711719e-01,2.500000e-02,1.275916e+00,-4.750000e-01,1.998696e+00,4.750000e-01,-3.639324e-01,2.500000e-02,1.269468e+00,-4.750000e-01,1.998997e+00,4.750000e-01,-3.566930e-01,2.500000e-02,1.263020e+00,-4.750000e-01,1.998696e+00,4.750000e-01,-3.639324e-01,2.500000e-02,1.269468e+00,-4.750000e-01,1.998394e+00,4.750000e-01,-3.711719e-01,2.500000e-02,1.275916e+00,-4.750000e-01,1.998093e+00,4.750000e-01,-3.784114e-01,2.500000e-02,1.282364e+00,-4.750000e-01,1.997792e+00,4.750000e-01,-3.856509e-01,2.500000e-02,1.288813e+00,-4.750000e-01,1.997490e+00,4.750000e-01,-3.928903e-01,2.500000e-02,1.295261e+00,-4.750000e-01
VALUES,2.223443e+00,7.226268e-01,-7.303903e-01,-3.125000e-01,1.502252e+00,-8.125000e-01,2.223107e+00,7.227866e-01,-7.231509e-01,-3.125000e-01,1.495720e+00,-8.125000e-01,2.222769e+00,7.229502e-01,-7.159114e-01,-3.125000e-01,1.489139e+00,-8.125000e-01,2.222429e+00,7.231178e-01,-7.086719e-01,-3.125000e-01,1.482509e+00,-8.125000e-01,2.222087e+00,7.232896e-01,-7.014324e-01,-3.125000e-01,1.475831e+00,-8.125000e-01,2.221744e+00,7.234658e-01,-6.941930e-01,-3.125000e-01,1.469103e+00,-8.125000e-01,2.222087e+00,7.232896e-01,-7.014324e-01,-3.125000e-01,1.475831e+00,-8.125000e-01,2.222429e+00,7.231178e-01,-7.086719e-01,-3.125000e-01,1.482509e+00,-8.125000e-01,2.222769e+00,7.229502e-01,-7.159114e-01,-3.125000e-01,1.489139e+00,-8.125000e-01,2.223107e+00,7.227866e-01,-7.231509e-01,-3.125000e-01,1.495720e+00,-8.125000e-01,2.223443e+00,7.226268e-01,-7.303903e-01,-3.125000e-01,1.502252e+00,-8.125000e-01
VALUES,2.002707e+00,8.442265e-01,-9.629321e-01,2.277862e-02,1.599317e+00,-1.172580e+00,2.002922e+00,8.408740e-01,-9.504920e-01,2.270337e-02,1.590437e+00,-1.171881e+00,2.003127e+00,8.377184e-01,-9.383433e-01,2.263880e-02,1.581647e+00,-1.171228e+00,2.003320e+00,8.347548e-01,-9.264777e-01,2.258543e-02,1.572945e+00,-1.170621e+00,2.003504e+00,8.319783e-01,-9.148875e-01,2.254378e-02,1.564328e+00,-1.170060e+00,2.003676e+00,8.293843e-01,-9.035651e-01,2.251436e-02,1.555793e+00,-1.169543e+00,2.003504e+00,8.319783e-01,-9.148875e-01,2.254378e-02,1.564328e+00,-1.170060e+00,2.003320e+00,8.347548e-01,-9.264777e-01,2.258543e-02,1.572945e+00,-1.170621e+00,2.003127e+00,8.377184e-01,-9.383433e-01,2.263880e-02,1.581647e+00,-1.171228e+00,2.002922e+00,8.408740e-01,-9.504920e-01,2.270337e-02,1.590437e+00,-1.171881e+00,2.002707e+00,8.442265e-01,-9.629321e-01,2.277862e-02,1.599317e+00,-1.172580e+00
VALUES,2.010579e+00,1.030350e+00,-1.184432e+00,-2.231048e-03,1.724261e+00,-1.127712e+00,2.010540e+00,1.021643e+00,-1.163626e+00,-2.198409e-03,1.712163e+00,-1.127806e+00,2.010503e+00,1.013583e+00,-1.143834e+00,-2.167540e-03,1.700437e+00,-1.127890e+00,2.010468e+00,1.006109e+00,-1.124962e+00,-2.138530e-03,1.689045e+00,-1.127967e+00,2.010436e+00,9.991491e-01,-1.106896e+00,-2.111350e-03,1.677941e+00,-1.128037e+00,2.010405e+00,9.927423e-01,-1.089690e+00,-2.086228e-03,1.667156e+00,-1.128099e+00,2.010436e+00,9.991491e-01,-1.106896e+00,-2.111350e-03,1.677941e+00,-1.128037e+00,2.010468e+00,1.006109e+00,-1.124962e+00,-2.138530e-03,1.689045e+00,-1.127967e+00,2.010503e+00,1.013583e+00,-1.143834e+00,-2.167540e-03,1.700437e+00,-1.127890e+00,2.010540e+00,1.021643e+00,-1.163626e+00,-2.198409e-03,1.712163e+00,-1.127806e+00,2.010579e+00,1.030350e+00,-1.184432e+00,-2.231048e-03,1.724261e+00,-1.127712e+00
VALUES,1.988731e+00,9.967971e-01,-1.134464e+00,2.836620e-02,1.695211e+00,-1.146875e+00,1.992241e+00,1.001785e+00,-1.134464e+00,2.344219e-02,1.692495e+00,-1.144417e+00,1.995779e+00,1.006797e+00,-1.134466e+00,1.849204e-02,1.689851e+00,-1.141816e+00,2.002288e+00,1.021740e+00,-1.149495e+00,9.444758e-03,1.694073e+00,-1.136609e+00,2.006083e+00,1.026471e+00,-1.148961e+00,4.167551e-03,1.691365e+00,-1.133501e+00,2.009106e+00,1.028896e+00,-1.144820e+00,-1.592575e-05,1.686954e+00,-1.130937e+00,2.006077e+00,1.026395e+00,-1.148840e+00,4.176604e-03,1.691309e+00,-1.133506e+00,2.002265e+00,1.021644e+00,-1.149347e+00,9.477070e-03,1.694006e+00,-1.136628e+00,1.995780e+00,1.006797e+00,-1.134466e+00,1.849064e-02,1.689851e+00,-1.141815e+00,1.992240e+00,1.001785e+00,-1.134464e+00,2.344262e-02,1.692495e+00,-1.144417e+00,1.988731e+00,9.967971e-01,-1.134464e+00,2.836605e-02,1.695211e+00,-1.146875e+00
VALUES,1.994720e+00,1.024580e+00,-1.176792e+00,2.011934e-02,1.714000e+00,-1.142188e+00,1.993208e+00,1.007433e+00,-1.142745e+00,2.217030e-02,1.696164e+00,-1.143905e+00,1.995714e+00,1.006961e+00,-1.134407e+00,1.865777e-02,1.689842e+00,-1.141992e+00,1.999672e+00,1.011976e+00,-1.134464e+00,1.314080e-02,1.687297e+00,-1.138740e+00,2.003465e+00,1.016967e+00,-1.134465e+00,7.852247e-03,1.684677e+00,-1.135607e+00,2.007149e+00,1.021972e+00,-1.134464e+00,2.719296e-03,1.682022e+00,-1.132537e+00,2.003464e+00,1.016967e+00,-1.134465e+00,7.853607e-03,1.684676e+00,-1.135608e+00,1.999670e+00,1.011976e+00,-1.134464e+00,1.314244e-02,1.687296e+00,-1.138741e+00,1.995715e+00,1.006961e+00,-1.134408e+00,1.865723e-02,1.689842e+00,-1.141992e+00,1.993212e+00,1.007457e+00,-1.142783e+00,2.216484e-02,1.696181e+00,-1.143901e+00,1.994643e+00,1.024258e+00,-1.176293e+00,2.022581e-02,1.713776e+00,-1.142257e+00
VALUES,1.993370e+00,1.018907e+00,-1.168031e+00,2.199320e-02,1.710063e+00,-1.143386e+00,1.991771e+00,1.002039e+00,-1.134454e+00,2.416161e-02,1.692436e+00,-1.145167e+00,1.995730e+00,1.006993e+00,-1.134456e+00,1.863637e-02,1.689865e+00,-1.141979e+00,1.999673e+00,1.011976e+00,-1.134464e+00,1.313903e-02,1.687297e+00,-1.138739e+00,2.003464e+00,1.016967e+00,-1.134464e+00,7.854406e-03,1.684677e+00,-1.135608e+00,2.007149e+00,1.021972e+00,-1.134464e+00,2.718650e-03,1.682022e+00,-1.132536e+00,2.003463e+00,1.016967e+00,-1.134464e+00,7.855695e-03,1.684676e+00,-1.135609e+00,1.999672e+00,1.011976e+00,-1.134464e+00,1.314074e-02,1.687297e+00,-1.138740e+00,1.995730e+00,1.006993e+00,-1.134456e+00,1.863637e-02,1.689865e+00,-1.141979e+00,1.991771e+00,1.002039e+00,-1.134454e+00,2.416161e-02,1.692436e+00,-1.145167e+00,1.993370e+00,1.018907e+00,-1.168031e+00,2.199318e-02,1.710063e+00,-1.143386e+00
VALUES,1.990602e+00,1.008206e+00,-1.151550e+00,2.582753e-02,1.702662e+00,-1.145838e+00,1.991771e+00,1.002039e+00,-1.134454e+00,2.416161e-02,1.692436e+00,-1.145167e+00,1.995730e+00,1.006993e+00,-1.134456e+00,1.863637e-02,1.689865e+00,-1.141979e+00,1.999673e+00,1.011976e+00,-1.134464e+00,1.313903e-02,1.687297e+00,-1.138739e+00,2.003464e+00,1.016967e+00,-1.134464e+00,7.854406e-03,1.684677e+00,-1.135608e+00,2.007149e+00,1.021972e+00,-1.134464e+00,2.718650e-03,1.682022e+00,-1.132536e+00,2.003463e+00,1.016967e+00,-1.134464e+00,7.855695e-03,1.684676e+00,-1.135609e+00,1.999672e+00,1.011976e+00,-1.134464e+00,1.314074e-02,1.687297e+00,-1.138740e+00,1.995730e+00,1.006993e+00,-1.134456e+00,1.863637e-02,1.689865e+00,-1.141979e+00,1.991771e+00,1.002039e+00,-1.134454e+00,2.416161e-02,1.692436e+00,-1.145167e+00,1.990602e+00,1.008206e+00,-1.151550e+00,2.582753e-02,1.702662e+00,-1.145838e+00
